KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK
ACOFOR_55123_02919,221992    ,3600,3145,1467,551,029,1
ACOFOR_55123_55777,221856    ,650,436,201,551,557,1
ACOFOR_55123_55777,224399    ,650,436,201,551,557,2
ACOFOR_55379_55811,223611    ,450,385,179,553,558,1
ACOFOR_55806_56649,222355    ,725,333,161,558,566,1
ACOFOR_80037_84115,223596    ,1250,1097,527,800,841,1
ACTCLA01_74502_34981,222404    ,3100,2534,1263,745,349,1
ADODUL_98233_55806,222270    ,4250,3554,1799,982,558,1
AFCOAK_62832_55301,222024    ,2100,1417,715,628,553,1
AFCOAK_62832_55301,221964    ,2100,1417,715,628,553,2
AGRNEW01_57350_54229,220573    ,2300,1143,571,573,542,1
AIMOAK_19555_54703,222766    ,2500,2347,1068,195,547,1
ALLMIN_61244_56310,225534    ,1500,930,442,612,563,1
AMEBUR_55811_55303,225866    ,1150,343,158,558,553,1
AMEBUR_83864_55068,226213    ,3500,2809,1415,838,550,1
AMEBUR_83864_55068,226159    ,3500,2809,1415,838,550,2
AMEBUR_83864_55068,226037    ,3500,2809,1415,838,550,3
AMEHOW_72853_78064,222920    ,1450,1371,671,728,780,1
AMEMEL_99301_10924,225055    ,4971,5496,2709,993,109,1
AMES2023_55811_62233,226514    ,3615,1580,790,558,622,1
AMES2023_55811_62233,226513    ,3615,1580,790,558,622,2
AMES2023_55811_62233,226515    ,3615,1580,790,558,622,3
AMETUC_55741_80110,225119    ,4150,2254,1136,557,801,1
AMETUC_55741_82801,222218    ,3950,2036,1029,557,828,1
AMETUC_55741_83709,225942    ,5753,3168,1604,557,837,1
AMETUC_55806_79760,229755    ,4500,2792,1398,558,797,1
AMETUC_55806_79760,228052    ,4500,2792,1398,558,797,2
AMETUC_55806_79760,228616    ,4500,2792,1398,558,797,3
AMETUC_55806_79760,227607    ,4500,2792,1398,558,797,4
AMETUC_55806_79760,227710    ,4500,2792,1398,558,797,5
AMETUC_55806_79760,228618    ,4500,2792,1398,558,797,6
AMETUC_55806_79760,227305    ,4500,2792,1398,558,797,7
AMETUC_55806_79760,226808    ,4500,2792,1398,558,797,8
AMTADD_47165_77705,227582    ,2450,2003,974,471,777,1
AMTADD_53081_55450,223869    ,1000,825,392,530,554,1
AMTADD_65711_53532,227910    ,1500,1126,554,657,535,1
AMUCLO_55107_55753,226897    ,800,463,210,551,557,1
AMUCLO_55379_54880,226423    ,574,390,178,553,548,1
AMUCLO_55379_54880,226691    ,574,390,178,553,548,1
AMUCLO_55379_54880,226589    ,574,390,178,553,548,1
