KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK
ACOFOR5512355777,230483,700,431,205,55123,55777,1
AMETUC5580679760,229755,4500,2786,1398,55806,79760,1
AMETUC5580679760,228052,4500,2786,1398,55806,79760,2
AMETUC5580679760,228616,4500,2786,1398,55806,79760,3
AMETUC5580679760,227607,4500,2786,1398,55806,79760,4
AMETUC5580679760,227710,4500,2786,1398,55806,79760,5
AMETUC5580679760,228618,4500,2786,1398,55806,79760,6
AMETUC5580679760,227305,4500,2786,1398,55806,79760,7
AMTADD5240454474,230525,800,634,313,52404,54474,1
AMTADD6571153532,227910,1500,1126,554,65711,53532,1
AMUCLO5537954880,228966,612,383,177,55379,54880,1
AMUCLO5537954880,227813,612,383,177,55379,54880,2
AMUCLO5537954880,229176,612,383,177,55379,54880,3
AMUCLO5537954880,230109,612,383,177,55379,54880,4
AMUCLO5537954880,228369,612,383,177,55379,54880,5
AMUCLO5537954880,227811,612,383,177,55379,54880,6
AMUCLO5537954880,228006,612,383,177,55379,54880,7
AMUCLO5537954880,228163,612,383,177,55379,54880,8
AMUCLO5537954880,229178,612,383,177,55379,54880,9
AMUCLO5537954880,228582,612,383,177,55379,54880,10
AMUCLO5537954880,228370,612,383,177,55379,54880,11
AMUCLO5537954880,228712,612,383,177,55379,54880,12
ANDAND1631440218,230146,1400,909,449,16314,40218,1
ANDAND1631440218,230136,1400,909,449,16314,40218,2
ANNNEW3891542633,229807,1100,867,419,38915,42633,1
ARIBIR6134154847,229365,1000,972,482,61341,54847,1
ARLMOO5605855108,230394,360,159,65,56058,55108,1
ARMCHA0421055352,229952,3700,3208,1561,4210,55352,1
ATLOSS4978355369,227762,3300,1072,526,49783,55369,1
ATSSAI2950119112,230366,2000,1279,547,29501,19112,1
ATSSAI3056719047,229422,1700,1565,753,30567,19047,1
ATSSAI3056719047,229558,1700,1565,753,30567,19047,2
ATSSAI3717250542,227687,1800,1485,729,37172,50542,1
ATSSAI3974654017,228278,2000,1954,989,39746,54017,1
ATSSAI8560756308,229568,2500,3092,1608,85607,56308,1
AWCHOL6304467037,230697,1200,885,444,63044,67037,1
AXLKNO4790576033,228561,2250,1944,982,47905,76033,1
AXLKNO5320277449,228611,2100,2438,1209,53202,77449,1
BARSUP4634254880,228553,2081,1103,510,46342,54880,1
BARSUP5488039332,227879,3576,2421,1212,54880,39332,1
BARSUP5488039332,229931,3576,2421,1212,54880,39332,2
BARSUP5510149908,228607,2021,725,357,55101,49908,1
BARSUP5510149908,226134,2021,725,357,55101,49908,2
