KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,MustTakeFlag
A&W PALLET-Ast/43506/43050,1928887,525,349,165,43506,43050,1,
A&W PALLET-Log/43318/43506,1925169,450,235,111,43318,43506,1,
AJM PACKAGING-Ast/48195/43554,1922198,552,215,101,48195,43554,1,
AJM PACKAGING-Ast/48209/43545,1924668,585,205,97,48209,43545,1,
ALTENLOH TRUFA-Ast/15906/43506,1923785,1034,804,356,15906,43506,1,
ALTENLOH TRUFA-Ast/15906/43506,1922148,1034,804,356,15906,43506,2,
ALTENLOH TRUFA-Ast/15906/43506,1923786,1034,804,356,15906,43506,3,
ALTENLOH TRUFA-Ast/15906/43506,1924628,1034,804,356,15906,43506,4,
ALTENLOH TRUFA-Ast/15906/43506,1922557,1034,804,356,15906,43506,5,
ALTENLOH TRUFA-Ast/15906/43506,1922558,1034,804,356,15906,43506,6,
ALTENLOH TRUFA-Ast/15906/43506,1923130,1034,804,356,15906,43506,7,
ALTENLOH TRUFA-Ast/15906/43506,1922145,1034,804,356,15906,43506,8,
ALTENLOH TRUFA-Ast/15906/43506,1922149,1034,804,356,15906,43506,9,
ALTENLOH TRUFA-Ast/15906/43506,1925446,1034,804,356,15906,43506,10,
ALTENLOH TRUFA-Ast/15906/43506,1927040,1034,804,356,15906,43506,11,
ALTENLOH TRUFA-Ast/15906/43506,1927042,1034,804,356,15906,43506,12,
ALTENLOH TRUFA-Ast/15906/43506,1927904,1034,804,356,15906,43506,13,
ALTENLOH TRUFA-Ast/15906/43506,1929524,1034,804,356,15906,43506,14,
ALTENLOH TRUFA-Ast/15906/43506,1927043,1034,804,356,15906,43506,15,
ALTENLOH TRUFA-Ast/15906/43506,1930002,1034,804,356,15906,43506,16,
ALTENLOH TRUFA-Ast/15906/43506,1929525,1034,804,356,15906,43506,17,
ALTENLOH TRUFA-Ast/15906/43506,1932813,1034,804,356,15906,43506,18,
ALTENLOH TRUFA-Ast/15906/43506,1932355,1034,804,356,15906,43506,19,
ALTENLOH TRUFA-Ast/15906/43506,1932354,1034,804,356,15906,43506,20,
ALTENLOH TRUFA-Ast/15906/43506,1931945,1034,804,356,15906,43506,21,
ALTENLOH TRUFA-Ast/43506/48601,1922385,1025,375,180,43506,48601,1,
ALTENLOH TRUFA-Ast/43506/48601,1931838,1025,375,180,43506,48601,2,
ALTENLOH TRUFA-Ast/43554/38668,1925038,1899,1445,697,43554,38668,1,
ALTENLOH TRUFA-Ast/43554/62246,1923266,1192,805,388,43554,62246,1,
ALTENLOH TRUFA-Ast/43554/62246,1930015,1192,805,388,43554,62246,2,
ALTENLOH TRUFA-Ast/44101/17013,1925735,1443,879,335,44101,17013,1,
ALTENLOH TRUFA-Ast/44101/17013,1929302,1443,879,335,44101,17013,2,
ALTENLOH TRUFA-Ast/44101/17013,1932240,1443,879,335,44101,17013,3,
ALTENLOH TRUFA-Ast/44101/17777,1928437,1332,607,292,44101,17777,1,
ALTENLOH TRUFA-Ast/44101/38668,1924717,2062,1617,780,44101,38668,1,
ALTENLOH TRUFA-Ast/44101/43506,1922162,737,380,171,44101,43506,1,
ALTENLOH TRUFA-Ast/44101/43506,1926258,737,380,171,44101,43506,2,
ALTENLOH TRUFA-Ast/44101/43506,1924762,737,380,171,44101,43506,3,
ALTENLOH TRUFA-Ast/44101/43506,1927361,737,380,171,44101,43506,4,
ALTENLOH TRUFA-Ast/44101/43506,1928445,737,380,171,44101,43506,5,
ALTENLOH TRUFA-Ast/44101/43506,1930218,737,380,171,44101,43506,6,
ALTENLOH TRUFA-Ast/44101/43506,1929045,737,380,171,44101,43506,7,
ALTENLOH TRUFA-Ast/44101/43506,1921105,737,380,171,44101,43506,8,
ALTENLOH TRUFA-Ast/44101/43506,1922159,737,380,171,44101,43506,9,
ALTENLOH TRUFA-Ast/45822/17777,1896303,2700,950,458,45822,17777,1,
ALTENLOH TRUFA-Ast/45822/43506,1925503,400,138,65,45822,43506,1,
ALTENLOH TRUFA-Ast/45822/43506,1919666,400,138,65,45822,43506,2,
ALTENLOH TRUFA-Ast/45822/47711,1909288,2016,1534,740,45822,47711,1,
ALTENLOH TRUFA-Ast/45822/47711,1922531,2016,1534,740,45822,47711,2,
ALTENLOH TRUFA-Ast/49424/43506,1932070,650,343,160,49424,43506,1,
ALTENLOH TRUFA-Ast/49424/43506,1921808,650,343,160,49424,43506,2,
ALTENLOH TRUFA-Ast/49424/43506,1925455,650,343,160,49424,43506,3,
ALTENLOH TRUFA-Ast/49503/43543,1923693,795,330,154,49503,43543,1,
ALTENLOH TRUFA-Ast/49503/43543,1923690,795,330,154,49503,43543,2,
ALTENLOH TRUFA-Ast/49503/43543,1923682,795,330,154,49503,43543,3,
ALTENLOH TRUFA-Ast/49503/43543,1923688,795,330,154,49503,43543,4,
ALTENLOH TRUFA-Log/15906/43506,1920968,1037,803,356,15906,43506,1,
ALTENLOH TRUFA-Log/15906/43506,1923131,1037,803,356,15906,43506,2,
ALTENLOH TRUFA-Log/15906/43506,1925134,1037,803,356,15906,43506,3,
ALTENLOH TRUFA-Log/15906/43506,1922555,1037,803,356,15906,43506,4,
ALTENLOH TRUFA-Log/15906/43506,1926287,1037,803,356,15906,43506,5,
ALTENLOH TRUFA-Log/15906/43506,1926285,1037,803,356,15906,43506,6,
ALTENLOH TRUFA-Log/15906/43506,1931105,1037,803,356,15906,43506,7,
ALTENLOH TRUFA-Log/15906/43506,1927906,1037,803,356,15906,43506,8,
ALTENLOH TRUFA-Log/15906/43506,1928529,1037,803,356,15906,43506,9,
ALTENLOH TRUFA-Log/43506/48601,1925226,1028,380,181,43506,48601,1,
ALTENLOH TRUFA-Log/43554/62246,1926147,1192,805,388,43554,62246,1,
ALTENLOH TRUFA-Log/44101/43506,1922160,737,381,172,44101,43506,1,
ALTENLOH TRUFA-Log/44101/43506,1922158,737,381,172,44101,43506,2,
ALTENLOH TRUFA-Log/44101/43506,1925530,737,381,172,44101,43506,3,
ALTENLOH TRUFA-Log/44101/43506,1932231,737,381,172,44101,43506,4,
ALTENLOH TRUFA-Log/45822/17777,1922532,2664,950,458,45822,17777,1,
ALTENLOH TRUFA-Log/45822/76240,1909293,3292,2053,987,45822,76240,1,
AMSTAN LOGISTI-Ast/43125/25428,1926473,1191,748,345,43125,25428,1,
AMSTAN LOGISTI-Ast/43125/28301,1923767,1353,1075,501,43125,28301,1,
AMSTAN LOGISTI-Ast/43125/44077,1930003,746,488,235,43125,44077,1,
AMSTAN LOGISTI-Ast/43125/45822,1925919,503,258,123,43125,45822,1,
AMSTAN LOGISTI-Ast/43125/46219,1928572,654,369,177,43125,46219,1,
AMSTAN LOGISTI-Ast/43130/44460,1929099,566,326,156,43130,44460,1,
AMSTAN LOGISTI-Ast/44460/45822,1928459,694,466,223,44460,45822,1,
AMSTAN LOGISTI-Ast/44460/45822,1932859,694,466,223,44460,45822,2,
AMSTAN LOGISTI-Ast/75141/43160,1926640,1933,2094,1011,75141,43160,1,
AMSTAN LOGISTI-Ast/75141/43554,1920667,2029,2250,1086,75141,43554,1,
AMSTAN LOGISTI-Ast/75141/43554,1926493,2029,2250,1086,75141,43554,2,
AMSTAN LOGISTI-Ast/75141/47805,1917390,1573,1728,834,75141,47805,1,
AMSTAN LOGISTI-Ast/75141/47805,1925399,1573,1728,834,75141,47805,2,
AMSTAN LOGISTI-Ast/75141/47805,1927368,1573,1728,834,75141,47805,3,
AMSTAN LOGISTI-Ast/75141/48601,1921910,2323,2581,1242,75141,48601,1,
AMSTAN LOGISTI-Ast/75141/48601,1926638,2323,2581,1242,75141,48601,2,
AMSTAN LOGISTI-Ast/75141/48601,1926637,2323,2581,1242,75141,48601,3,
AMSTAN LOGISTI-Ast/75141/48601,1923200,2323,2581,1242,75141,48601,4,
AMSTAN LOGISTI-Ast/75141/60545,1925402,1740,1946,935,75141,60545,1,
AMSTAN LOGISTI-Log/43125/45822,1926487,503,259,123,43125,45822,1,
AMSTAN LOGISTI-Log/43125/46516,1931714,685,497,239,43125,46516,1,
AMSTAN LOGISTI-Log/75141/43554,1926639,2018,2265,1094,75141,43554,1,
ANDERSON'S LAW-Ast/43537/30301,1925175,1525,1383,660,43537,30301,1,
ARC SUPPLY CHA-Ast/30217/43545,1926780,2969,1382,667,30217,43545,1,
ARC SUPPLY CHA-Ast/30217/48315,1930140,1848,1629,785,30217,48315,1,
ARC SUPPLY CHA-Ast/43545/48176,1923946,1020,635,306,43545,48176,1,
ARC SUPPLY CHA-Ast/43545/48176,1920459,1020,635,306,43545,48176,2,
ARC SUPPLY CHA-Ast/43545/48176,1926825,1020,635,306,43545,48176,3,
ARC SUPPLY CHA-Ast/43545/48176,1926826,1020,635,306,43545,48176,4,
ARC SUPPLY CHA-Ast/43545/48176,1926827,1020,635,306,43545,48176,5,
ARC SUPPLY CHA-Ast/43545/48176,1930146,1020,635,306,43545,48176,6,
ARC SUPPLY CHA-Ast/46755/30217,1930132,3572,1499,718,46755,30217,1,
ARC SUPPLY CHA-Ast/48079/43512,1920570,1170,470,226,48079,43512,1,
ARC SUPPLY CHA-Ast/48079/43512,1920569,1170,470,226,48079,43512,2,
ARC SUPPLY CHA-Log/43545/48176,1923949,1021,636,306,43545,48176,1,
ARC SUPPLY CHA-Log/43545/48176,1920460,1021,636,306,43545,48176,2,
ARC SUPPLY CHA-Log/43545/48176,1923947,1021,636,306,43545,48176,3,
ARC SUPPLY CHA-Log/43545/48176,1920458,1021,636,306,43545,48176,4,
ARC SUPPLY CHA-Log/43545/48176,1930145,1021,636,306,43545,48176,5,
ARC SUPPLY CHA-Log/43545/48176,1930142,1021,636,306,43545,48176,6,
ARCHBOLD CONTA-Ast/43502/38301,1916308,1917,1266,604,43502,38301,1,
ARCHBOLD CONTA-Ast/43502/38301,1920313,1917,1266,604,43502,38301,2,
ARCHBOLD CONTA-Ast/43502/38301,1923790,1917,1266,604,43502,38301,3,
ARCHBOLD CONTA-Ast/43502/38301,1929018,1917,1266,604,43502,38301,4,
ARCHBOLD CONTA-Ast/43502/38301,1926696,1917,1266,604,43502,38301,5,
ARCHBOLD CONTA-Ast/43502/38301,1926698,1917,1266,604,43502,38301,6,
ARCHBOLD CONTA-Ast/43502/41018,1923827,885,410,197,43502,41018,1,
ARCHBOLD CONTA-Ast/43502/41018,1928749,885,410,197,43502,41018,2,
ARCHBOLD CONTA-Ast/43502/43701,1920305,917,457,220,43502,43701,1,
ARCHBOLD CONTA-Ast/43502/49501,1923798,706,333,154,43502,49501,1,
ARCHBOLD CONTA-Ast/43502/49501,1926687,706,333,154,43502,49501,2,
ARCHBOLD CONTA-Ast/43502/49501,1926690,706,333,154,43502,49501,3,
ARCHBOLD CONTA-Ast/43502/49501,1916261,706,333,154,43502,49501,4,
ARCHBOLD CONTA-Ast/43502/49501,1916297,706,333,154,43502,49501,5,
ARCHBOLD CONTA-Ast/43502/49503,1916333,777,369,172,43502,49503,1,
ARCHBOLD CONTA-Ast/43502/60515,1923781,931,552,224,43502,60515,1,
ARCHBOLD CONTA-Log/43502/38301,1920320,1923,1265,604,43502,38301,1,
ARCHBOLD CONTA-Log/43502/38301,1916342,1923,1265,604,43502,38301,2,
ARCHBOLD CONTA-Log/43502/38301,1920326,1923,1265,604,43502,38301,3,
ARPS DAIRY INC-Ast/15147/43512,1919289,966,682,304,15147,43512,1,
ARPS DAIRY INC-Ast/43219/43512,1929499,602,292,140,43219,43512,1,
ARPS DAIRY INC-Ast/49001/43512,1915252,603,291,133,49001,43512,1,
ARPS DAIRY INC-Log/15147/43512,1915924,966,682,304,15147,43512,1,
ARPS DAIRY INC-Log/15147/43512,1925094,966,682,304,15147,43512,2,
ARRIVE LOGISTI-Ast/16146/43228,1932256,575,397,189,16146,43228,1,
ARRIVE LOGISTI-Ast/27406/43525,1922560,925,1144,535,27406,43525,1,
ARRIVE LOGISTI-Ast/28759/44212,1924787,955,1160,542,28759,44212,1,
ARRIVE LOGISTI-Ast/35401/44101,1926822,1200,1606,773,35401,44101,1,
ARRIVE LOGISTI-Ast/36867/43554,1931182,1150,1598,770,36867,43554,1,
ARRIVE LOGISTI-Ast/37122/46714,1923405,800,839,394,37122,46714,1,
ARRIVE LOGISTI-Ast/37122/46714,1923409,800,839,394,37122,46714,2,
ARRIVE LOGISTI-Ast/38301/46808,1924794,1075,1140,546,38301,46808,1,
ARRIVE LOGISTI-Ast/38863/49426,1925938,1200,1580,758,38863,49426,1,
ARRIVE LOGISTI-Ast/41048/45839,1930133,440,379,179,41048,45839,1,
ARRIVE LOGISTI-Ast/42241/45044,1922732,725,629,301,42241,45044,1,
ARRIVE LOGISTI-Ast/42241/46808,1922321,750,821,390,42241,46808,1,
ARRIVE LOGISTI-Ast/42241/46808,1922313,750,821,390,42241,46808,2,
ARRIVE LOGISTI-Ast/43221/14546,1921019,1000,846,398,43221,14546,1,
ARRIVE LOGISTI-Ast/44278/43554,1928008,500,428,190,44278,43554,1,
ARRIVE LOGISTI-Ast/47620/44035,1929171,1000,985,472,47620,44035,1,
ARRIVE LOGISTI-Ast/47711/44483,1928403,967,1049,501,47711,44483,1,
ARRIVE LOGISTI-Ast/47711/44483,1926148,967,1049,501,47711,44483,2,
ARRIVE LOGISTI-Ast/47711/44483,1922322,967,1049,501,47711,44483,3,
ARRIVE LOGISTI-Ast/52808/43015,1920984,975,963,459,52808,43015,1,
ARRIVE LOGISTI-Ast/60101/44128,1923202,825,896,374,60101,44128,1,
ARRIVE LOGISTI-Ast/60447/43551,1922516,750,657,276,60447,43551,1,
ARRIVE LOGISTI-Ast/60548/43554,1932431,600,544,228,60548,43554,1,
ARRIVE LOGISTI-Ast/60548/43554,1929079,600,544,228,60548,43554,2,
ARRIVE LOGISTI-Ast/62801/49014,1924807,712,839,400,62801,49014,1,
ARRIVE LOGISTI-Ast/62801/49014,1921129,712,839,400,62801,49014,2,
ARRIVE LOGISTI-Ast/62801/49014,1931312,712,839,400,62801,49014,3,
ARRIVE LOGISTI-Ast/63045/45067,1928392,825,769,368,63045,45067,1,
ARRIVE LOGISTI-Ast/63645/47302,1932908,950,833,395,63645,47302,1,
ARRIVE LOGISTI-Ast/72916/44281,1926846,1700,2003,958,72916,44281,1,
ARRIVE LOGISTI-Ast/73763/43137,1925936,1450,2037,969,73763,43137,1,
ARRIVE LOGISTI-Ast/75149/43545,1929801,1450,2243,1081,75149,43545,1,
ARRIVE LOGISTI-Ast/75182/44130,1925934,1900,2449,1178,75182,44130,1,
ARRIVE LOGISTI-Ast/76101/23230,1932794,2350,2695,1301,76101,23230,1,
ARRIVE LOGISTI-Log/42241/46808,1927023,750,862,409,42241,46808,1,
ARRIVE LOGISTI-Log/46184/49201,1930445,625,550,262,46184,49201,1,
ARRIVE LOGISTI-Log/72206/47905,1926557,1300,1301,622,72206,47905,1,
ARRIVE LOGISTI-Log/72206/47905,1929800,1300,1301,622,72206,47905,2,
ATLAS ROOFING-Ast/35151/17011,1921064,1766,1678,809,35151,17011,1,
ATLAS ROOFING-Ast/35151/17011,1919564,1766,1678,809,35151,17011,2,
ATLAS ROOFING-Ast/35151/17011,1924766,1766,1678,809,35151,17011,3,
ATLAS ROOFING-Ast/35151/17011,1931984,1766,1678,809,35151,17011,4,
ATLAS ROOFING-Ast/35151/17011,1928644,1766,1678,809,35151,17011,5,
ATLAS ROOFING-Ast/35151/17011,1928641,1766,1678,809,35151,17011,6,
ATLAS ROOFING-Ast/35151/18202,1920663,1947,1828,879,35151,18202,1,
ATLAS ROOFING-Ast/35151/21224,1918661,1865,1663,788,35151,21224,1,
ATLAS ROOFING-Ast/35151/21224,1923930,1865,1663,788,35151,21224,2,
ATLAS ROOFING-Ast/35151/61354,1931061,1592,1499,723,35151,61354,1,
ATLAS ROOFING-Ast/43537/35151,1920876,1647,1464,705,43537,35151,1,
ATLAS ROOFING-Ast/43537/35151,1920875,1647,1464,705,43537,35151,2,
ATLAS ROOFING-Ast/43537/35151,1923883,1647,1464,705,43537,35151,3,
ATLAS ROOFING-Ast/43537/35151,1923882,1647,1464,705,43537,35151,4,
ATLAS ROOFING-Ast/43537/35151,1923881,1647,1464,705,43537,35151,5,
ATLAS ROOFING-Ast/43537/35151,1923885,1647,1464,705,43537,35151,6,
ATLAS ROOFING-Ast/43537/35151,1923884,1647,1464,705,43537,35151,7,
ATLAS ROOFING-Ast/43537/35151,1923889,1647,1464,705,43537,35151,8,
ATLAS ROOFING-Ast/43537/35151,1924172,1647,1464,705,43537,35151,9,
ATLAS ROOFING-Ast/43537/35151,1926657,1647,1464,705,43537,35151,10,
ATLAS ROOFING-Ast/43537/35151,1926646,1647,1464,705,43537,35151,11,
ATLAS ROOFING-Ast/43537/35151,1930515,1647,1464,705,43537,35151,12,
ATLAS ROOFING-Ast/43537/35151,1930525,1647,1464,705,43537,35151,13,
ATLAS ROOFING-Ast/43537/35151,1930521,1647,1464,705,43537,35151,14,
ATLAS ROOFING-Ast/43537/35151,1930524,1647,1464,705,43537,35151,15,
ATLAS ROOFING-Ast/43537/35151,1926649,1647,1464,705,43537,35151,16,
ATLAS ROOFING-Ast/43537/35151,1926648,1647,1464,705,43537,35151,17,
ATLAS ROOFING-Ast/43537/35151,1930526,1647,1464,705,43537,35151,18,
ATLAS ROOFING-Ast/43537/35151,1926651,1647,1464,705,43537,35151,19,
ATLAS ROOFING-Ast/43537/35151,1926647,1647,1464,705,43537,35151,20,
ATLAS ROOFING-Ast/43537/35151,1930514,1647,1464,705,43537,35151,21,
ATLAS ROOFING-Ast/45005/49014,1924508,735,504,242,45005,49014,1,
ATLAS ROOFING-Ast/45005/49014,1931757,735,504,242,45005,49014,2,
ATLAS ROOFING-Ast/45005/49014,1933149,735,504,242,45005,49014,3,
ATLAS ROOFING-Ast/45005/49048,1929274,782,545,262,45005,49048,1,
ATLAS ROOFING-Ast/45005/49093,1920094,764,516,239,45005,49093,1,
ATLAS ROOFING-Log/35151/17011,1926811,1780,1679,809,35151,17011,1,
ATLAS ROOFING-Log/35151/17011,1919565,1780,1679,809,35151,17011,2,
ATLAS ROOFING-Log/35151/17011,1923919,1780,1679,809,35151,17011,3,
ATLAS ROOFING-Log/35151/17011,1925955,1780,1679,809,35151,17011,4,
