KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,MustTakeFlag
FIRST SOLAR_LOG/43465/42265,1919434,1590,955,458,43465,42265,1,
FIRST SOLAR_LOG/43465/42265,1923355,1590,955,458,43465,42265,2,
FIRST SOLAR_LOG/43465/42265,1919412,1590,955,458,43465,42265,3,
FIRST SOLAR_LOG/43465/42265,1923328,1590,955,458,43465,42265,4,
FIRST SOLAR_LOG/43465/42265,1926435,1590,955,458,43465,42265,5,
FIRST SOLAR_LOG/43465/42265,1919491,1590,955,458,43465,42265,6,
FIRST SOLAR_LOG/43465/42265,1926447,1590,955,458,43465,42265,7,
FIRST SOLAR_LOG/43465/42265,1926403,1590,955,458,43465,42265,8,
FIRST SOLAR_LOG/43465/42265,1919419,1590,955,458,43465,42265,9,
FIRST SOLAR_LOG/43465/42265,1923336,1590,955,458,43465,42265,10,
FIRST SOLAR_LOG/43465/42265,1923340,1590,955,458,43465,42265,11,
FIRST SOLAR_LOG/43465/42265,1919448,1590,955,458,43465,42265,12,
FIRST SOLAR_LOG/43465/42265,1923334,1590,955,458,43465,42265,13,
FIRST SOLAR_LOG/43465/42265,1923357,1590,955,458,43465,42265,14,
FIRST SOLAR_LOG/43465/42265,1919431,1590,955,458,43465,42265,15,
FIRST SOLAR_LOG/43465/42265,1919498,1590,955,458,43465,42265,16,
FIRST SOLAR_LOG/43465/42265,1923301,1590,955,458,43465,42265,17,
FIRST SOLAR_LOG/43465/42265,1923316,1590,955,458,43465,42265,18,
FIRST SOLAR_LOG/43465/42265,1919440,1590,955,458,43465,42265,19,
FIRST SOLAR_LOG/43465/43228,1919435,797,277,131,43465,43228,1,
FIRST SOLAR_LOG/43465/43228,1923383,797,277,131,43465,43228,2,
FIRST SOLAR_LOG/43465/43228,1929648,797,277,131,43465,43228,3,
FIRST SOLAR_LOG/43465/43228,1915786,797,277,131,43465,43228,4,
FIRST SOLAR_LOG/43465/43228,1929617,797,277,131,43465,43228,5,
FIRST SOLAR_LOG/43465/43228,1915792,797,277,131,43465,43228,6,
FIRST SOLAR_LOG/43465/43228,1919452,797,277,131,43465,43228,7,
FIRST SOLAR_LOG/43465/43228,1929624,797,277,131,43465,43228,8,
FIRST SOLAR_LOG/43465/43228,1929596,797,277,131,43465,43228,9,
FIRST SOLAR_LOG/43465/43228,1926408,797,277,131,43465,43228,10,
FIRST SOLAR_LOG/43465/43228,1923384,797,277,131,43465,43228,11,
FIRST SOLAR_LOG/43465/43228,1919485,797,277,131,43465,43228,12,
FIRST SOLAR_LOG/43465/43228,1919436,797,277,131,43465,43228,13,
FIRST SOLAR_LOG/43465/43228,1915753,797,277,131,43465,43228,14,
FIRST SOLAR_LOG/43465/43228,1930315,797,277,131,43465,43228,15,
FIRST SOLAR_LOG/43465/43228,1923331,797,277,131,43465,43228,16,
FIRST SOLAR_LOG/43465/43228,1915766,797,277,131,43465,43228,17,
FIRST SOLAR_LOG/43465/43228,1926464,797,277,131,43465,43228,18,
FIRST SOLAR_LOG/43465/43228,1919402,797,277,131,43465,43228,19,
FIRST SOLAR_LOG/43465/43228,1929627,797,277,131,43465,43228,20,
FIRST SOLAR_LOG/43465/43228,1915835,797,277,131,43465,43228,21,
FIRST SOLAR_LOG/43465/43228,1929643,797,277,131,43465,43228,22,
FIRST SOLAR_LOG/43465/43228,1930332,797,277,131,43465,43228,23,
FIRST SOLAR_LOG/43465/43228,1929649,797,277,131,43465,43228,24,
FIRST SOLAR_LOG/43465/43228,1915830,797,277,131,43465,43228,25,
FIRST SOLAR_LOG/43465/43228,1926405,797,277,131,43465,43228,26,
FIRST SOLAR_LOG/43465/43228,1923300,797,277,131,43465,43228,27,
FIRST SOLAR_LOG/43465/43228,1926458,797,277,131,43465,43228,28,
FIRST SOLAR_LOG/43465/43228,1919471,797,277,131,43465,43228,29,
FIRST SOLAR_LOG/43465/43228,1930321,797,277,131,43465,43228,30,
FIRST SOLAR_LOG/43465/43228,1915789,797,277,131,43465,43228,31,
FIRST SOLAR_LOG/43465/43228,1923332,797,277,131,43465,43228,32,
FIRST SOLAR_LOG/43465/43228,1919495,797,277,131,43465,43228,33,
FIRST SOLAR_LOG/43465/43228,1919492,797,277,131,43465,43228,34,
FIRST SOLAR_LOG/43465/43228,1919445,797,277,131,43465,43228,35,
FIRST SOLAR_LOG/43465/43228,1930324,797,277,131,43465,43228,36,
FIRST SOLAR_LOG/43465/43228,1919446,797,277,131,43465,43228,37,
FIRST SOLAR_LOG/43465/43228,1915785,797,277,131,43465,43228,38,
FIRST SOLAR_LOG/43465/43228,1919487,797,277,131,43465,43228,39,
FIRST SOLAR_LOG/43465/43228,1929605,797,277,131,43465,43228,40,
FIRST SOLAR_LOG/43465/43228,1929619,797,277,131,43465,43228,41,
FIRST SOLAR_LOG/43551/42265,1926393,1590,939,450,43551,42265,1,
FIRST SOLAR_LOG/43551/42265,1919442,1590,939,450,43551,42265,2,
FIRST SOLAR_LOG/43551/42265,1919424,1590,939,450,43551,42265,3,
FIRST SOLAR_LOG/43551/42265,1919427,1590,939,450,43551,42265,4,
FIRST SOLAR_LOG/43551/42265,1919476,1590,939,450,43551,42265,5,
FIRST SOLAR_LOG/43551/42265,1926445,1590,939,450,43551,42265,6,
FIRST SOLAR_LOG/43551/42265,1926415,1590,939,450,43551,42265,7,
FIRST SOLAR_LOG/43551/42265,1929630,1590,939,450,43551,42265,8,
FIRST SOLAR_LOG/43551/42265,1923312,1590,939,450,43551,42265,9,
FIRST SOLAR_LOG/43551/42265,1919415,1590,939,450,43551,42265,10,
FIRST SOLAR_LOG/43551/42265,1923382,1590,939,450,43551,42265,11,
FIRST SOLAR_LOG/43551/42265,1926467,1590,939,450,43551,42265,12,
FIRST SOLAR_LOG/43551/42265,1919457,1590,939,450,43551,42265,13,
FIRST SOLAR_LOG/43551/42265,1923309,1590,939,450,43551,42265,14,
FIRST SOLAR_LOG/43551/42265,1923352,1590,939,450,43551,42265,15,
FIRST SOLAR_LOG/43551/42265,1923314,1590,939,450,43551,42265,16,
FIRST SOLAR_LOG/43551/42265,1926413,1590,939,450,43551,42265,17,
FIRST SOLAR_LOG/43551/42265,1923308,1590,939,450,43551,42265,18,
FIRST SOLAR_LOG/43551/42265,1923353,1590,939,450,43551,42265,19,
FIRST SOLAR_LOG/43551/42265,1919500,1590,939,450,43551,42265,20,
FIRST SOLAR_LOG/43551/42265,1919472,1590,939,450,43551,42265,21,
FIRST SOLAR_LOG/43551/42265,1919473,1590,939,450,43551,42265,22,
FIRST SOLAR_LOG/43551/42265,1926379,1590,939,450,43551,42265,23,
FIRST SOLAR_LOG/43551/42265,1929618,1590,939,450,43551,42265,24,
FIRST SOLAR_LOG/43551/42265,1923354,1590,939,450,43551,42265,25,
FIRST SOLAR_LOG/43551/42265,1919423,1590,939,450,43551,42265,26,
FIRST SOLAR_LOG/43551/42265,1923324,1590,939,450,43551,42265,27,
FIRST SOLAR_LOG/43551/42265,1926463,1590,939,450,43551,42265,28,
FIRST SOLAR_LOG/43551/42265,1919416,1590,939,450,43551,42265,29,
FIRST SOLAR_LOG/43551/42265,1930563,1590,939,450,43551,42265,30,
FIRST SOLAR_LOG/43551/42265,1929597,1590,939,450,43551,42265,31,
FIRST SOLAR_LOG/43551/42265,1919425,1590,939,450,43551,42265,32,
FIRST SOLAR_LOG/43551/42265,1923342,1590,939,450,43551,42265,33,
FIRST SOLAR_LOG/43551/42265,1926399,1590,939,450,43551,42265,34,
FIRST SOLAR_LOG/43551/42265,1923333,1590,939,450,43551,42265,35,
FIRST SOLAR_LOG/43551/42265,1923378,1590,939,450,43551,42265,36,
FIRST SOLAR_LOG/43551/42265,1919499,1590,939,450,43551,42265,37,
FIRST SOLAR_LOG/43551/42265,1926425,1590,939,450,43551,42265,38,
FIRST SOLAR_LOG/43551/42265,1923344,1590,939,450,43551,42265,39,
FIRST SOLAR_LOG/43551/42265,1930557,1590,939,450,43551,42265,40,
FIRST SOLAR_LOG/43551/42265,1930565,1590,939,450,43551,42265,41,
FIRST SOLAR_LOG/43551/42265,1930553,1590,939,450,43551,42265,42,
FIRST SOLAR_LOG/43551/42265,1929623,1590,939,450,43551,42265,43,
FIRST SOLAR_LOG/43551/42265,1929647,1590,939,450,43551,42265,44,
FIRST SOLAR_LOG/43551/43228,1923369,795,262,123,43551,43228,1,
FIRST SOLAR_LOG/43551/43228,1930326,795,262,123,43551,43228,2,
