KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
^3 RIVERS LOGIS-Ast/83210/33527,2942538,4800,4947,2440,83210,33527,1,False,0.0,0.0,968.0,[2985923 2977801],[2970582 2977283],83201,33853,1
^3 RIVERS LOGIS-Ast/83210/33564,2942539,4900,5016,2522,83210,33564,1,False,0.0,0.0,980.0,[2978771 2977798],[2978249 2974854],83201,33853,1
^3 RIVERS LOGIS-Ast/83274/33527,2942540,4800,4861,2441,83274,33527,1,False,0.0,0.0,1219.0,[2978811 2977800],[2978241 2958238],83201,33853,1
^3 RIVERS LOGIS-Ast/83434/33527,2943747,4800,4764,2414,83434,33527,1,False,0.0,0.0,931.0,[2972325 2977900],[2978275 2970012],83401,33853,1
^ALLEN LUND COM-Ast/18106/27302,2943749,800,944,462,18106,27302,1,False,73.38899993896484,0.0,1612.0,[2973030 2972846],[2974952 2984196],17901,28697,1
^ALLEN LUND COM-Ast/22601/32063,2947016,1000,1465,767,22601,32063,1,False,0.0,0.0,1779.0,[2983179 2976664],[2983508 2974906],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953151,988,1476,767,22602,32063,1,False,0.0,1.0,67.0,[2973067 2976596],[2983500 2973031],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953159,988,1476,767,22602,32063,2,False,0.0,0.0,157.0,[2972932 2976600],[2983340 2978203],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953152,988,1476,767,22602,32063,3,False,0.0,5.0,10.0,[2973118 2976597],[2983227 2969761],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2952209,988,1476,767,22602,32063,4,False,0.0,0.0,1250.0,[2973094 2976667],[2983277 2981850],22601,12095,1
^ALLEN LUND COM-Ast/22602/33881,2953964,1200,1791,932,22602,33881,1,False,0.0,0.0,318.0,[2972928 2976624],[2978237 2974858],22601,33853,1
^ALLEN LUND COM-Ast/22602/76504,2954146,1800,2657,1395,22602,76504,1,False,0.0,0.0,1600.0,[2973038 2976680],[2978159 2971232],22601,76063,1
^ALLEN LUND COM-Ast/28704/54660,2954185,1450,1830,899,28704,54660,1,False,130.94900512695312,0.0,188.0,[2980725 2965353],[2970918 2972329],29687,54619,1
^ALLEN LUND COM-Ast/28704/54660,2954535,1450,1830,899,28704,54660,2,False,130.94900512695312,0.0,927.0,[2982254 2977696],[2970919 2972325],29607,54619,1
^ALLEN LUND COM-Ast/28704/75160,2955086,1550,1858,942,28704,75160,1,False,130.94900512695312,2.0,13.0,[2966854 2977680],[2968951 2969999],29645,75181,1
^ALLEN LUND COM-Ast/55024/46011,2955087,1400,1397,619,55024,46011,1,False,0.0,0.0,1381.0,[2977672 2969209],[2981094 2978853],55075,46241,1
