KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
^3 RIVERS LOGIS-Ast/83210/33527,2973248,4800,4946,2440,33527,2973248,1,False,,,,,,,,0
^3 RIVERS LOGIS-Ast/83210/33564,2985008,4900,5016,2522,33564,2985008,1,False,,,,,,,,0
^3 RIVERS LOGIS-Ast/83274/33527,2974205,4800,4861,2441,33527,2974205,1,False,,,,,,,,0
^3 RIVERS LOGIS-Ast/83434/33527,2975939,4800,4763,2414,33527,2975939,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/18106/27302,2974053,800,944,462,27302,2974053,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22601/32063,2977020,1000,1465,767,32063,2977020,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2986649,987,1476,767,32063,2986649,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2985855,987,1476,767,32063,2985855,2,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2986056,987,1476,767,32063,2986056,3,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2978222,987,1476,767,32063,2978222,4,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/33881,2986007,1200,1790,932,33881,2986007,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/76504,2979604,1800,2657,1395,76504,2979604,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/28704/54660,2981441,1450,1830,899,54660,2981441,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/28704/54660,2984278,1450,1830,899,54660,2984278,2,False,,,,,,,,0
^ALLEN LUND COM-Ast/28704/75160,2980646,1550,1857,942,75160,2980646,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/55024/46011,2979206,1400,1397,619,46011,2979206,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/75227/22942,2979376,2816,2635,1223,22942,2979376,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/75227/22942,2983052,2816,2635,1223,22942,2983052,2,False,,,,,,,,0
