KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,MustTakeFlag
A0468172,A0468172,912,1092,481,56303,60446,1,
A0468170,A0468170,912,1092,481,56303,60446,2,
A0468165,A0468165,912,1092,481,56303,60446,3,
A0468167,A0468167,912,1092,481,56303,60446,4,
A0468841,A0468841,912,1092,481,56303,60446,5,
A0466758,A0466758,912,1092,481,56303,60446,6,
A0467401,A0467401,912,1092,481,56303,60446,7,
A0467391,A0467391,912,1092,481,56303,60446,8,
A0465351,A0465351,912,1092,481,56303,60446,9,
A0466757,A0466757,912,1092,481,56303,60446,10,
A0467424,A0467424,912,1092,481,56303,60446,11,
A0467403,A0467403,912,1092,481,56303,60446,12,
A0467404,A0467404,912,1092,481,56303,60446,13,
A0467974,A0467974,912,1092,481,56303,60446,14,
A0467421,A0467421,750,914,387,56303,61073,1,
A0469294,A0469294,1014,1179,529,76011,66049,1,
A0469693,A0469693,1014,1179,529,76011,66049,2,
A0469694,A0469694,1014,1179,529,76011,66049,3,
A0470205,A0470205,1014,1179,529,76011,66049,4,
A0470206,A0470206,1014,1179,529,76011,66049,5,
A0465223,A0465223,1014,1179,529,76011,66049,6,
A0464921,A0464921,1014,1179,529,76011,66049,7,
A0467685,A0467685,1014,1179,529,76011,66049,8,
A0469695,A0469695,1014,1179,529,76011,66049,9,
A0467687,A0467687,1014,1179,529,76011,66049,10,
A0467684,A0467684,1014,1179,529,76011,66049,11,
A0467689,A0467689,1014,1179,529,76011,66049,12,
A0465355,A0465355,992,865,372,41094,61362,1,
A0469696,A0469696,992,865,372,41094,61362,2,
A0469004,A0469004,992,865,372,41094,61362,3,
A0465956,A0465956,992,865,372,41094,61362,4,
A0466332,A0466332,992,865,372,41094,61362,5,
A0469894,A0469894,804,860,371,45356,60115,1,
A0469895,A0469895,804,860,371,45356,60115,2,
A0469892,A0469892,804,860,371,45356,60115,3,
A0468657,A0468657,804,860,371,45356,60115,4,
A0468097,A0468097,600,562,250,45356,47546,1,
A0469417,A0469417,1129,1039,440,55429,60436,1,
A0469386,A0469386,1129,1039,440,55429,60436,2,
A0469424,A0469424,1129,1039,440,55429,60436,3,
A0468017,A0468017,1129,1039,440,55429,60436,4,
A0469304,A0469304,800,708,309,45014,16117,1,
A0466881,A0466881,1840,2306,1085,45014,77041,1,
A0468343,A0468343,1900,2098,954,45014,75042,1,
A0466448,A0466448,740,887,389,56013,61068,1,
A0466639,A0466639,740,887,389,56013,61068,2,
A0466638,A0466638,740,887,389,56013,61068,3,
A0470409,A0470409,683,752,341,44646,40258,1,
A0469007,A0469007,683,752,341,44646,40258,2,
A0468987,A0468987,683,752,341,44646,40258,3,
A0469451,A0469451,780,722,304,63118,38654,1,
A0470618,A0470618,800,1025,471,63118,54656,1,
A0468285,A0468285,746,811,366,63118,53590,1,
A0468524,A0468524,700,900,411,45069,60803,1,
A0468446,A0468446,700,900,411,45069,60803,2,
A0468453,A0468453,580,903,434,45069,60119,1,
A0469022,A0469022,1400,1691,788,43420,66067,1,
A0467498,A0467498,1400,1691,788,43420,66067,2,
A0468492,A0468492,1500,1686,764,43420,66030,1,
A0467469,A0467469,825,842,349,49346,61081,1,
A0466465,A0466465,825,957,397,49346,53598,1,
A0466503,A0466503,850,1179,482,44305,53546,1,
A0467710,A0467710,850,1179,482,44305,53546,2,
A0470218,A0470218,831,832,364,63120,72113,1,
A0467273,A0467273,831,832,364,63120,72113,2,
A0466999,A0466999,850,1111,463,16503,60431,1,
A0466738,A0466738,850,1111,463,16503,60431,2,
A0469541,A0469541,800,600,219,45804,60617,1,
A0468095,A0468095,2000,1944,872,45804,39601,1,
A0467693,A0467693,1900,2349,1043,17345,64161,1,
A0468380,A0468380,1100,1675,727,17345,60142,1,
A0466836,A0466836,600,733,299,52501,60164,1,
A0466684,A0466684,600,733,299,52501,60164,2,
A0467703,A0467703,1100,1559,722,24472,60174,1,
A0468537,A0468537,1300,1932,892,24472,54115,1,
A0467227,A0467227,1750,1541,663,67460,77095,1,
A0467175,A0467175,1200,1496,690,67460,38301,1,
A0468005,A0468005,1300,1672,789,30106,61109,1,
A0467680,A0467680,645,1021,466,30106,47274,1,
A0468652,A0468652,615,803,355,45246,60115,1,
A0468110,A0468110,615,803,355,45246,60115,2,
A0469067,A0469067,765,1034,480,30336,72143,1,
A0466341,A0466341,700,1626,795,30336,46219,1,
A0467083,A0467083,1001,1109,515,47804,72756,1,
A0470449,A0470449,650,601,267,47804,61109,1,
A0469006,A0469006,2200,2339,1075,37922,78130,1,
A0465483,A0465483,870,1516,731,37922,60450,1,
A0467517,A0467517,500,373,157,52404,61342,1,
A0469566,A0469566,750,532,222,52404,53511,1,
A0467515,A0467515,777,816,357,41048,60115,1,
A0468803,A0468803,777,816,357,41048,60115,2,
A0467885,A0467885,1175,985,421,53546,42420,1,
A0467884,A0467884,1175,985,421,53546,42420,2,
A0467007,A0467007,925,911,407,42420,53546,1,
A0469423,A0469423,925,911,407,42420,53546,2,
A0466867,A0466867,1000,1224,570,64120,75212,1,
A0467631,A0467631,1050,1256,588,64120,40509,1,
A0469078,A0469078,1400,1089,470,43125,63069,1,
A0469381,A0469381,600,865,394,43125,60440,1,
A0469536,A0469536,650,850,383,43230,60666,1,
A0469535,A0469535,650,850,383,43230,60666,2,
A0467735,A0467735,725,907,371,44146,60421,1,
A0469072,A0469072,750,1225,508,44146,53039,1,
A0467572,A0467572,1900,2420,1143,45365,77018,1,
A0469965,A0469965,700,801,361,63069,60031,1,
A0467966,A0467966,750,612,246,19605,23005,1,
A0466650,A0466650,1300,1983,955,14550,46124,1,
A0470222,A0470222,1320,1534,710,72904,56050,1,
A0467658,A0467658,800,1085,510,28025,40258,1,
A0468442,A0468442,615,834,355,48192,61834,1,
A0469065,A0469065,1500,1924,844,28205,61115,1,
A0468345,A0468345,950,1071,445,56057,60617,1,
A0466401,A0466401,1600,1787,812,28562,42420,1,
A0468448,A0468448,900,892,395,63825,61350,1,
A0468027,A0468027,1100,1320,617,29506,45011,1,
A0468694,A0468694,600,553,241,76711,77708,1,
A0467889,A0467889,1600,1619,730,29621,46714,1,
A0469215,A0469215,1210,1386,646,46168,67401,1,
A0465392,A0465392,1605,1979,930,29626,66223,1,
A0469273,A0469273,600,425,167,52358,60450,1,
A0468651,A0468651,800,1068,487,29687,38358,1,
A0467478,A0467478,977,1017,450,55379,60436,1,
