OrgZip,DstZip,EmptyMiles,EmptyCost
070,071,6,9.726
070,072,11,17.831
070,081,90,145.89
070,085,57,92.397
070,088,34,55.114
070,137,191,309.611
070,154,340,551.14
070,156,339,549.519
070,164,404,654.884
070,168,228,369.588
070,170,166,269.086
070,173,177,286.917
070,174,166,269.086
070,175,143,231.803
070,180,73,118.333
070,181,82,132.922
070,189,69,111.849
070,190,101,163.721
070,195,108,175.068
070,197,127,205.867
070,199,191,309.611
070,207,227,367.967
070,212,188,304.748
070,219,149,241.529
070,221,245,397.145
070,228,332,538.172
070,234,328,531.688
070,236,371,601.391
070,240,464,752.144
070,241,471,763.491
070,244,388,628.948
070,245,427,692.167
070,272,549,889.929
070,274,520,842.92
070,275,491,795.911
070,278,466,755.386
070,280,632,1024.472
070,281,631,1022.851
070,282,633,1026.093
070,283,562,911.002
070,293,706,1144.426
070,294,752,1218.992
070,295,639,1035.819
070,296,738,1196.298
070,300,853,1382.713
070,301,878,1423.238
070,302,899,1457.279
070,303,863,1398.923
070,304,868,1407.028
070,305,797,1291.937
070,307,816,1322.736
070,314,809,1311.389
070,322,944,1530.224
070,328,1087,1762.027
070,330,1306,2117.026
070,336,1127,1826.867
070,338,1137,1843.077
070,356,950,1539.95
070,360,1042,1689.082
070,363,1087,1762.027
070,370,876,1419.996
070,373,817,1324.357
070,374,802,1300.042
070,377,706,1144.426
070,379,697,1129.837
070,381,1075,1742.575
070,383,995,1612.895
070,386,1123,1820.383
070,387,1209,1959.789
070,391,1194,1935.474
070,397,1092,1770.132
070,400,742,1202.782
070,406,716,1160.636
070,410,652,1056.892
070,411,600,972.6
070,420,953,1544.813
070,431,532,862.372
070,432,523,847.783
070,433,542,878.582
070,434,524,849.404
070,435,582,943.422
070,441,439,711.619
070,443,425,688.925
070,445,383,620.843
070,446,444,719.724
070,448,495,802.395
070,449,488,791.048
070,450,616,998.536
070,451,607,983.947
070,453,603,977.463
070,458,577,935.317
070,460,720,1167.12
070,462,701,1136.321
070,463,742,1202.782
070,467,643,1042.303
070,471,739,1197.919
070,473,655,1061.755
070,479,776,1257.896
070,481,592,959.632
070,482,604,979.084
070,484,635,1029.335
070,487,697,1129.837
070,490,693,1123.353
070,493,752,1218.992
070,494,774,1254.654
070,495,736,1193.056
070,498,1033,1674.493
070,500,1098,1779.858
070,502,1092,1770.132
070,503,1095,1774.995
070,504,1153,1869.013
070,506,1076,1744.196
070,507,1060,1718.26
070,511,1270,2058.67
070,513,1263,2047.323
070,515,1202,1948.442
070,516,1241,2011.661
070,520,982,1591.822
070,524,1009,1635.589
070,525,1062,1721.502
070,527,943,1528.603
070,528,931,1509.151
070,530,914,1481.594
070,531,867,1405.407
070,532,881,1428.101
070,534,862,1397.302
070,539,967,1567.507
070,540,1167,1891.707
070,541,1023,1658.283
070,544,1065,1726.365
070,545,1134,1838.214
070,546,1048,1698.808
070,547,1105,1791.205
070,548,1206,1954.926
070,549,984,1595.064
070,550,1183,1917.643
070,551,1182,1916.022
070,553,1220,1977.62
070,554,1193,1933.853
070,559,1128,1828.488
070,560,1222,1980.862
070,561,1321,2141.341
070,562,1333,2160.793
070,563,1286,2084.606
070,564,1346,2181.866
070,565,1411,2287.231
070,566,1398,2266.158
070,567,1510,2447.71
070,571,1356,2198.076
070,573,1452,2353.692
070,580,1460,2366.66
070,581,1424,2308.304
070,582,1548,2509.308
070,584,1528,2476.888
070,585,1630,2642.23
070,588,1795,2909.695
070,600,824,1335.704
070,601,813,1317.873
070,604,778,1261.138
070,605,805,1304.905
070,606,779,1262.759
070,608,776,1257.896
070,610,895,1450.795
070,611,869,1408.649
070,612,914,1481.594
070,616,911,1476.731
070,617,875,1418.375
070,618,816,1322.736
070,620,949,1538.329
070,622,944,1530.224
070,623,1002,1624.242
070,630,978,1585.338
070,631,952,1543.192
070,633,990,1604.79
070,638,1051,1703.671
070,640,1173,1901.433
070,641,1187,1924.127
070,645,1199,1943.579
070,648,1242,2013.282
070,655,1080,1750.68
