KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,MustTakeFlag
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46475470,549,337,138,56201,56572,1,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481130,549,337,138,56201,56572,2,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46475531,549,337,138,56201,56572,3,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46482005,549,337,138,56201,56572,4,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46477572,549,337,138,56201,56572,5,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46479612,549,337,138,56201,56572,6,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46478318,549,337,138,56201,56572,7,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46476823,549,337,138,56201,56572,8,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481129,549,337,138,56201,56572,9,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46479992,549,337,138,56201,56572,10,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46480502,549,337,138,56201,56572,11,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46477178,549,337,138,56201,56572,12,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46477122,549,337,138,56201,56572,13,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46476426,549,337,138,56201,56572,14,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46474777,549,337,138,56201,56572,15,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46474776,549,337,138,56201,56572,16,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481803,549,337,138,56201,56572,17,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46482004,549,337,138,56201,56572,18,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481322,549,337,138,56201,56572,19,
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46475943,549,337,138,56201,56572,20,
