KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK
307LAF_47905_52351,931359,1000,627,332,479,523,1
307LAF_47905_52351,932769,1000,627,332,479,523,2
307LAF_47905_52351,936148,1000,627,332,479,523,3
AESDEC_47905_16428,931307,1487,871,424,479,164,1
AESDEC_47905_16428,936182,1487,871,424,479,164,2
AESDEC_47905_16428,931306,1487,871,424,479,164,3
AESDEC_47905_16428,929986,1487,871,424,479,164,4
AESDEC_47905_16428,935444,1487,871,424,479,164,5
AESDEC_47905_16428,933647,1487,871,424,479,164,6
AESDEC_47905_16428,935043,1487,871,424,479,164,7
AESDEC_47905_16428,932864,1487,871,424,479,164,8
AESDEC_47905_16428,931845,1487,871,424,479,164,9
AESDEC_47905_16428,929639,1487,871,424,479,164,10
AESDEC_47905_17517,929658,2528,1411,627,479,175,1
AESDEC_47905_17517,930452,2528,1411,627,479,175,2
AESDEC_47905_17517,933830,2528,1411,627,479,175,3
AESDEC_47905_17517,936188,2528,1411,627,479,175,4
AESDEC_47905_17517,931083,2528,1411,627,479,175,5
AESDEC_47905_17517,928271,2528,1411,627,479,175,6
AESDEC_47905_17517,934842,2528,1411,627,479,175,7
AESDEC_47905_17557,935707,2550,1347,631,479,175,1
AESDEC_47905_17557,928805,2550,1347,631,479,175,2
AESDEC_47905_17557,934916,2550,1347,631,479,175,3
AESDEC_47905_17557,934082,2550,1347,631,479,175,4
AESDEC_47905_17557,931996,2550,1347,631,479,175,5
AESDEC_47905_17557,935706,2550,1347,631,479,175,6
AESDEC_47905_17557,931477,2550,1347,631,479,175,7
AESDEC_47905_17557,934708,2550,1347,631,479,175,8
AESDEC_47905_17557,935173,2550,1347,631,479,175,9
AESDEC_47905_17557,932553,2550,1347,631,479,175,10
AESDEC_47905_17557,932454,2550,1347,631,479,175,11
AESDEC_47905_17557,934261,2550,1347,631,479,175,12
AESDEC_47905_17557,932107,2550,1347,631,479,175,13
AESDEC_47905_17557,936336,2550,1347,631,479,175,13
AESDEC_47905_17557,931746,2550,1347,631,479,175,15
AESDEC_47905_17557,931214,2550,1347,631,479,175,16
AESDEC_47905_17557,930807,2550,1347,631,479,175,17
AESDEC_47905_17557,929781,2550,1347,631,479,175,18
AESDEC_47905_17557,930648,2550,1347,631,479,175,19
AESDEC_47905_17557,931843,2550,1347,631,479,175,20
AESDEC_47905_17557,931494,2550,1347,631,479,175,21
AESDEC_47905_17557,928967,2550,1347,631,479,175,22
AESDEC_47905_17557,930552,2550,1347,631,479,175,23
AESDEC_47905_17557,935595,2550,1347,631,479,175,24
AESDEC_47905_17557,936185,2550,1347,631,479,175,25
AESDEC_47905_17557,936412,2550,1347,631,479,175,26
AESDEC_47905_17557,934915,2550,1347,631,479,175,27
AESDEC_47905_17557,934260,2550,1347,631,479,175,28
AESDEC_47905_17557,935051,2550,1347,631,479,175,29
AESDEC_47905_17557,929634,2550,1347,631,479,175,30
AESDEC_47905_17557,932722,2550,1347,631,479,175,31
AESDEC_47905_17557,930367,2550,1347,631,479,175,32
AESDEC_47905_17557,934185,2550,1347,631,479,175,33
AESDEC_47905_17557,928367,2550,1347,631,479,175,34
AESDEC_47905_17557,929987,2550,1347,631,479,175,35
AESDEC_47905_17557,928674,2550,1347,631,479,175,36
AESDEC_47905_17557,932818,2550,1347,631,479,175,37
AESDEC_47905_17557,928147,2550,1347,631,479,175,37
AESDEC_47905_17557,928258,2550,1347,631,479,175,39
AESDEC_47905_17557,934791,2550,1347,631,479,175,39
AESDEC_47905_17557,929636,2550,1347,631,479,175,41
AESDEC_47905_17557,930076,2550,1347,631,479,175,42
AESDEC_47905_17557,931305,2550,1347,631,479,175,43
AESDEC_47905_17557,928530,2550,1347,631,479,175,44
AESDEC_47905_19047,931202,2664,1513,697,479,190,1
AESDEC_47905_19101,936194,2186,1311,683,479,191,1
AESDEC_47905_19101,931326,2186,1311,683,479,191,2
AESDEC_47905_19101,931492,2186,1311,683,479,191,3
AESDEC_47905_37401,929522,1607,927,458,479,374,1
AESDEC_47905_43545,935710,859,410,183,479,435,1
AESDEC_47905_52401,931844,1028,680,327,479,524,1
AESDEC_47905_52401,934259,1028,680,327,479,524,2
AESDEC_47905_52401,931308,1028,680,327,479,524,3
AESDEC_47905_52401,928531,1028,680,327,479,524,4
AESDEC_47905_52401,933648,1028,680,327,479,524,5
AESDEC_47905_52401,929190,1028,680,327,479,524,6
AESDEC_47905_52401,935366,1028,680,327,479,524,7
AESDEC_47905_52401,931999,1028,680,327,479,524,8
AESDEC_47905_60061,934079,605,371,150,479,600,1
AESDEC_47905_60061,929783,605,371,150,479,600,2
AESDEC_47905_64501,933289,1365,901,459,479,645,1
AESDEC_47905_64501,928149,1365,901,459,479,645,2
AESDEC_62521_46801,935597,1022,527,266,625,468,1
AESDEC_62521_46801,931493,1022,527,266,625,468,2
AESDEC_62521_46801,930102,1022,527,266,625,468,3
AESDEC_62521_46801,930081,1022,527,266,625,468,4
AESDEC_62521_46801,933021,1022,527,266,625,468,5
AMECRE_43537_65101,935512,1291,1053,570,435,651,1
AMECRE_45504_65101,932502,1278,928,496,455,651,1
ANHSAI_63118_46201,928018,689,580,241,631,462,1
ANHSAI_63118_66044,934270,729,653,287,631,660,1
ANHSAI_63118_66044,928942,729,653,287,631,660,2
ANHSAI_63118_66044,928456,729,653,287,631,660,3
ANHSAI_63118_66044,928874,729,653,287,631,660,4
ANHSAI_63118_66044,928701,729,653,287,631,660,4
ANHSAI_63118_66044,928537,729,653,287,631,660,6
ANHSAI_63118_66044,928536,729,653,287,631,660,7
ANHSAI_63118_66044,928943,729,653,287,631,660,8
ANHSAI_63118_66044,928689,729,653,287,631,660,9
ARCFRE_18031_62521,935774,1428,1607,765,180,625,1
ARCFRE_43516_46201,934169,766,367,189,435,462,1
ARCFRE_43516_46201,935537,766,367,189,435,462,2
ARCFRE_43516_46201,934872,766,367,189,435,462,3
ARCFRE_43516_46201,932928,766,367,189,435,462,4
ARCFRE_43516_46201,932040,766,367,189,435,462,5
ARCFRE_43516_46201,933456,766,367,189,435,462,6
ARCFRE_43516_46201,931692,766,367,189,435,462,7
ARCFRE_45227_62521,934215,713,494,264,452,625,1
ARCFRE_53716_62521,930128,729,512,254,537,625,1
ARCFRE_60538_08302,932537,2615,1605,810,605,083,1
ARCFRE_60538_62521,930503,884,349,159,605,625,1
ARCFRE_60538_62521,930502,884,349,159,605,625,2
ARCFRE_62525_08816,927280,3408,1530,841,625,088,1
ARCFRE_62525_08816,930424,3408,1530,841,625,088,2
ARCFRE_62525_08816,929134,3408,1530,841,625,088,3
ARCFRE_62525_08816,933580,3408,1530,841,625,088,4
ARCFRE_62526_07201,926586,3275,1772,847,625,072,1
ARCFRE_62526_07207,935508,3459,1794,847,625,072,1
ARCFRE_62526_07207,934593,3459,1794,847,625,072,2
ARCFRE_62526_07207,934592,3459,1794,847,625,072,3
ARCFRE_62526_07207,930545,3459,1794,847,625,072,4
ARCFRE_62526_07207,931687,3459,1794,847,625,072,4
ARCFRE_62526_07207,932530,3459,1794,847,625,072,6
ARCFRE_62526_07207,935509,3459,1794,847,625,072,7
ARCFRE_62526_07207,929136,3459,1794,847,625,072,8
ARCFRE_62526_07207,932924,3459,1794,847,625,072,9
ARCFRE_62526_07207,931688,3459,1794,847,625,072,10
ARCFRE_62526_07207,929140,3459,1794,847,625,072,11
ARCFRE_62526_07207,934596,3459,1794,847,625,072,12
ARCFRE_62526_07207,928031,3459,1794,847,625,072,13
ARCFRE_62526_07207,929138,3459,1794,847,625,072,14
ARCFRE_62526_07207,932037,3459,1794,847,625,072,15
ARCFRE_62526_07207,928033,3459,1794,847,625,072,16
ARCFRE_62526_07207,929128,3459,1794,847,625,072,17
ARCFRE_62526_07631,934234,3497,1843,872,625,076,1
ARCFRE_62526_07631,933587,3497,1843,872,625,076,2
ARCFRE_62526_07631,933583,3497,1843,872,625,076,3
ARCFRE_62526_07631,933578,3497,1843,872,625,076,4
ARCFRE_62526_07631,932527,3497,1843,872,625,076,5
ARCFRE_62526_07631,932929,3497,1843,872,625,076,6
ARCFRE_62526_07631,931698,3497,1843,872,625,076,7
