KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,Lock In
TRA_IB3658272113,TRA_IB001,972,896,465,36582,72113,1,
TRA_IB3658272113,TRA_IB002,972,896,465,36582,72113,2,
TRA_IB3610872113,TRA_IB003,905,903,469,36108,72113,1,
TRA_IB7200672113,TRA_IB004,371,249,82,72006,72113,1,
TRA_IB7196072113,TRA_IB005,428,290,106,71960,72113,1,
TRA_IB7196072113,TRA_IB006,428,290,106,71960,72113,2,
TRA_IB7196072113,TRA_IB007,428,290,106,71960,72113,3,
TRA_IB7185272113,TRA_IB008,475,336,133,71852,72113,1,
TRA_IB7185272113,TRA_IB009,475,336,133,71852,72113,2,
TRA_IB7185272113,TRA_IB010,475,336,133,71852,72113,3,
TRA_IB7185272113,TRA_IB011,475,336,133,71852,72113,4,
TRA_IB7185272113,TRA_IB012,475,336,133,71852,72113,5,
TRA_IB7185272113,TRA_IB013,475,336,133,71852,72113,6,
TRA_IB7180172113,TRA_IB014,428,309,117,71801,72113,1,
TRA_IB7180172113,TRA_IB015,428,309,117,71801,72113,2,
TRA_IB7180172113,TRA_IB016,428,309,117,71801,72113,3,
TRA_IB7180172113,TRA_IB017,428,309,117,71801,72113,4,
TRA_IB7180172113,TRA_IB018,428,309,117,71801,72113,5,
TRA_IB7180172113,TRA_IB019,428,309,117,71801,72113,6,
TRA_IB7180172113,TRA_IB020,428,309,117,71801,72113,7,
TRA_IB7180172113,TRA_IB021,428,309,117,71801,72113,8,
TRA_IB7180172113,TRA_IB022,428,309,117,71801,72113,9,
TRA_IB7180172113,TRA_IB023,428,309,117,71801,72113,10,
TRA_IB7180172113,TRA_IB024,428,309,117,71801,72113,11,
TRA_IB7180172113,TRA_IB025,428,309,117,71801,72113,12,
TRA_IB7250172113,TRA_IB026,336,283,102,72501,72113,1,
TRA_IB7250172113,TRA_IB027,336,283,102,72501,72113,2,
TRA_IB7250172113,TRA_IB028,336,283,102,72501,72113,3,
TRA_IB7250172113,TRA_IB029,336,283,102,72501,72113,4,
TRA_IB7250172113,TRA_IB030,336,283,102,72501,72113,5,
TRA_IB7250172113,TRA_IB031,336,283,102,72501,72113,6,
TRA_IB7250172113,TRA_IB032,336,283,102,72501,72113,7,
TRA_IB7250172113,TRA_IB033,336,283,102,72501,72113,8,
TRA_IB7250172113,TRA_IB034,336,283,102,72501,72113,9,
TRA_IB7250172113,TRA_IB035,336,283,102,72501,72113,10,
TRA_IB7163972113,TRA_IB036,315,282,101,71639,72113,1,
TRA_IB7163972113,TRA_IB037,315,282,101,71639,72113,2,
TRA_IB7163972113,TRA_IB038,315,282,101,71639,72113,3,
TRA_IB7163972113,TRA_IB039,315,282,101,71639,72113,4,
TRA_IB7163972113,TRA_IB040,315,282,101,71639,72113,5,
TRA_IB7163972113,TRA_IB041,315,282,101,71639,72113,6,
TRA_IB7163972113,TRA_IB042,315,282,101,71639,72113,7,
TRA_IB7163972113,TRA_IB043,315,282,101,71639,72113,8,
TRA_IB7163972113,TRA_IB044,315,282,101,71639,72113,9,
TRA_IB7163972113,TRA_IB045,315,282,101,71639,72113,10,
TRA_IB7163972113,TRA_IB046,315,282,101,71639,72113,11,
TRA_IB7163972113,TRA_IB047,315,282,101,71639,72113,12,
TRA_IB7163972113,TRA_IB048,315,282,101,71639,72113,13,
TRA_IB7163972113,TRA_IB049,315,282,101,71639,72113,14,
TRA_IB7163972113,TRA_IB050,315,282,101,71639,72113,15,
TRA_IB7163972113,TRA_IB051,315,282,101,71639,72113,16,
TRA_IB7163972113,TRA_IB052,315,282,101,71639,72113,17,
TRA_IB7163972113,TRA_IB053,315,282,101,71639,72113,18,
TRA_IB7163972113,TRA_IB054,315,282,101,71639,72113,19,
TRA_IB7163972113,TRA_IB055,315,282,101,71639,72113,20,
TRA_IB7163972113,TRA_IB056,315,282,101,71639,72113,21,
TRA_IB7163972113,TRA_IB057,315,282,101,71639,72113,22,
TRA_IB7163972113,TRA_IB058,315,282,101,71639,72113,23,
TRA_IB7163972113,TRA_IB059,315,282,101,71639,72113,24,
TRA_IB7163972113,TRA_IB060,315,282,101,71639,72113,25,
TRA_IB7163972113,TRA_IB061,315,282,101,71639,72113,26,
TRA_IB7163972113,TRA_IB062,315,282,101,71639,72113,27,
TRA_IB7163972113,TRA_IB063,315,282,101,71639,72113,28,
TRA_IB7163972113,TRA_IB064,315,282,101,71639,72113,29,
TRA_IB7163972113,TRA_IB065,315,282,101,71639,72113,30,
TRA_IB7163972113,TRA_IB066,315,282,101,71639,72113,31,
TRA_IB7163972113,TRA_IB067,315,282,101,71639,72113,32,
TRA_IB7163972113,TRA_IB068,315,282,101,71639,72113,33,
TRA_IB7163972113,TRA_IB069,315,282,101,71639,72113,34,
TRA_IB7163972113,TRA_IB070,315,282,101,71639,72113,35,
TRA_IB7163972113,TRA_IB071,315,282,101,71639,72113,36,
TRA_IB7163972113,TRA_IB072,315,282,101,71639,72113,37,
TRA_IB7163972113,TRA_IB073,315,282,101,71639,72113,38,
TRA_IB7163972113,TRA_IB074,315,282,101,71639,72113,39,
TRA_IB7163972113,TRA_IB075,315,282,101,71639,72113,40,
TRA_IB7163972113,TRA_IB076,315,282,101,71639,72113,41,
TRA_IB7163972113,TRA_IB077,315,282,101,71639,72113,42,
TRA_IB7163972113,TRA_IB078,315,282,101,71639,72113,43,
TRA_IB7163972113,TRA_IB079,315,282,101,71639,72113,44,
TRA_IB7163972113,TRA_IB080,315,282,101,71639,72113,45,
TRA_IB7163972113,TRA_IB081,315,282,101,71639,72113,46,
TRA_IB7163972113,TRA_IB082,315,282,101,71639,72113,47,
TRA_IB7163972113,TRA_IB083,315,282,101,71639,72113,48,
TRA_IB7163972113,TRA_IB084,315,282,101,71639,72113,49,
TRA_IB7163972113,TRA_IB085,315,282,101,71639,72113,50,
TRA_IB7163972113,TRA_IB086,315,282,101,71639,72113,51,
TRA_IB7163972113,TRA_IB087,315,282,101,71639,72113,52,
TRA_IB7163972113,TRA_IB088,315,282,101,71639,72113,53,
TRA_IB7163972113,TRA_IB089,315,282,101,71639,72113,54,
TRA_IB7163972113,TRA_IB090,315,282,101,71639,72113,55,
TRA_IB7163972113,TRA_IB091,315,282,101,71639,72113,56,
TRA_IB7163972113,TRA_IB092,315,282,101,71639,72113,57,
TRA_IB7163972113,TRA_IB093,315,282,101,71639,72113,58,
TRA_IB7163972113,TRA_IB094,315,282,101,71639,72113,59,
TRA_IB7163972113,TRA_IB095,315,282,101,71639,72113,60,
TRA_IB7163972113,TRA_IB096,315,282,101,71639,72113,61,
TRA_IB7163972113,TRA_IB097,315,282,101,71639,72113,62,
TRA_IB7163972113,TRA_IB098,315,282,101,71639,72113,63,
TRA_IB7163972113,TRA_IB099,315,282,101,71639,72113,64,
TRA_IB7163972113,TRA_IB100,315,282,101,71639,72113,65,
TRA_IB7163972113,TRA_IB101,315,282,101,71639,72113,66,
TRA_IB7160172113,TRA_IB102,333,206,56,71601,72113,1,
TRA_IB7160172113,TRA_IB103,333,206,56,71601,72113,2,
TRA_IB7160172113,TRA_IB104,333,206,56,71601,72113,3,
TRA_IB7160172113,TRA_IB105,333,206,56,71601,72113,4,
TRA_IB7176272113,TRA_IB106,362,353,143,71762,72113,1,
TRA_IB7176272113,TRA_IB107,362,353,143,71762,72113,2,
TRA_IB7176272113,TRA_IB108,362,353,143,71762,72113,3,
TRA_IB7176272113,TRA_IB109,362,353,143,71762,72113,4,
TRA_IB7176272113,TRA_IB110,362,353,143,71762,72113,5,
TRA_IB7176272113,TRA_IB111,362,353,143,71762,72113,6,
TRA_IB7176272113,TRA_IB112,362,353,143,71762,72113,7,
TRA_IB7176272113,TRA_IB113,362,353,143,71762,72113,8,
TRA_IB7176272113,TRA_IB114,362,353,143,71762,72113,9,
TRA_IB8040372113,TRA_IB115,1067,1789,978,80403,72113,1,
TRA_IB8072072113,TRA_IB116,1109,1649,895,80720,72113,1,
TRA_IB8072072113,TRA_IB117,1109,1649,895,80720,72113,2,
TRA_IB8072072113,TRA_IB118,1109,1649,895,80720,72113,3,
TRA_IB8072072113,TRA_IB119,1109,1649,895,80720,72113,4,
TRA_IB8105072113,TRA_IB120,969,1478,794,81050,72113,1,
TRA_IB8105072113,TRA_IB121,969,1478,794,81050,72113,2,
TRA_IB8105072113,TRA_IB122,969,1478,794,81050,72113,3,
TRA_IB8104772113,TRA_IB123,939,1338,711,81047,72113,1,
TRA_IB8104772113,TRA_IB124,939,1338,711,81047,72113,2,
TRA_IB5200272113,TRA_IB125,1534,1288,697,52002,72113,1,
TRA_IB5200272113,TRA_IB126,1534,1288,697,52002,72113,2,
TRA_IB5255672113,TRA_IB127,1263,1099,585,52556,72113,1,
TRA_IB5255672113,TRA_IB128,1263,1099,585,52556,72113,2,
TRA_IB6265672113,TRA_IB129,1366,932,486,62656,72113,1,
TRA_IB6110972113,TRA_IB130,1322,1190,639,61109,72113,1,
TRA_IB6134272113,TRA_IB131,1281,1118,596,61342,72113,1,
TRA_IB6252172113,TRA_IB132,1145,952,498,62521,72113,1,
TRA_IB4671472113,TRA_IB133,1514,1302,705,46714,72113,1,
TRA_IB4680972113,TRA_IB134,1516,1325,719,46809,72113,1,
TRA_IB4680972113,TRA_IB135,1516,1325,719,46809,72113,2,
TRA_IB4680972113,TRA_IB136,1516,1325,719,46809,72113,3,
