OrgZip,DstZip,EmptyMiles,EmptyCost
386,421,325,588.575
386,437,698,1264.078
386,450,547,990.617
386,458,654,1184.394
386,460,546,988.806
386,461,513,929.043
386,462,513,929.043
386,467,639,1157.229
386,472,494,894.634
386,480,815,1475.965
386,490,687,1244.157
386,494,730,1322.03
386,511,842,1524.862
386,535,704,1274.944
386,582,1230,2227.53
386,604,558,1010.538
386,606,579,1048.569
386,610,636,1151.796
386,619,411,744.321
386,625,431,780.541
386,631,330,597.63
386,633,366,662.826
386,640,549,994.239
386,641,563,1019.593
386,648,437,791.407
386,653,501,907.311
386,658,332,601.252
386,660,596,1079.356
386,661,570,1032.27
386,666,625,1131.875
386,674,716,1296.676
386,683,751,1360.061
386,685,760,1376.36
386,690,971,1758.481
386,718,308,557.788
386,727,370,670.07
386,728,268,485.348
386,729,328,594.008
386,737,578,1046.758
386,739,781,1414.391
386,741,443,802.273
386,746,540,977.94
386,756,418,756.998
386,761,539,976.129
386,775,613,1110.143
386,790,769,1392.659
386,800,1135,2055.485
386,802,1137,2059.107
386,804,1191,2156.901
386,805,1180,2136.98
386,806,1174,2126.114
386,807,1092,1977.612
386,811,1131,2048.241
386,832,1702,3082.322
386,833,1844,3339.484
386,834,1756,3180.116
386,836,1949,3529.639
386,840,1646,2980.906
386,841,1631,2953.741
386,843,1666,3017.126
386,844,1627,2946.497
386,850,1507,2729.177
386,851,1477,2674.847
386,852,1455,2635.005
386,853,1556,2817.916
386,856,1428,2586.108
386,857,1460,2644.06
386,864,1534,2778.074
386,881,902,1633.522
386,900,1842,3335.862
386,906,1831,3315.941
386,913,1858,3364.838
386,917,1813,3283.343
386,921,1862,3372.082
386,923,1754,3176.494
386,926,1838,3328.618
386,928,1825,3305.075
386,930,1888,3419.168
386,932,1892,3426.412
386,933,1853,3355.783
386,939,2061,3732.471
386,953,2063,3736.093
386,956,2141,3877.351
386,971,2411,4366.321
386,973,2424,4389.864
386,979,2030,3676.33
386,980,2420,4382.62
386,981,2427,4395.297
386,984,2449,4435.139
386,988,2269,4109.159
386,989,2291,4149.001
386,993,2227,4033.097
410,421,219,396.609
410,437,203,367.633
410,450,47,85.117
410,458,155,280.705
410,460,155,280.705
410,461,136,246.296
410,462,136,246.296
410,467,182,329.602
410,472,98,177.478
410,480,315,570.465
410,490,322,583.142
410,494,395,715.345
410,511,806,1459.666
410,535,481,871.091
410,582,1084,1963.124
410,604,308,557.788
410,606,321,581.331
410,610,431,780.541
410,619,261,472.671
410,625,328,594.008
410,631,380,688.18
410,633,416,753.376
410,640,599,1084.789
410,641,613,1110.143
410,648,668,1209.748
410,653,551,997.861
