KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
ABAWARD_30120_29202,AB0001,650,526,259,30120,29202,1,False,,,,,,,,0
ABAWARD_30120_29202,AB0002,650,526,259,30120,29202,2,False,,,,,,,,0
ABAWARD_30120_29202,AB0003,650,526,259,30120,29202,3,False,,,,,,,,0
ABAWARD_30120_29202,AB0004,650,526,259,30120,29202,4,False,,,,,,,,0
ABAWARD_30120_29202,AB0005,650,526,259,30120,29202,5,False,,,,,,,,0
ABAWARD_30120_72201,AB0006,793,1057,520,30120,72201,1,False,149.9040069580078,0.0,331.0,['B1104848' 'B1105715'],['B1102204' 'B1099488'],30253,39074,1
ABAWARD_30120_72201,AB0007,793,1057,520,30120,72201,2,False,149.9040069580078,2.0,83.0,['B1103730' 'B1105594'],['B1097711' 'B1101230'],30252,35601,1
ABAWARD_30120_72201,AB0008,793,1057,520,30120,72201,3,False,393.49798583984375,4.0,379.0,['B1101120' 'B1104696'],['B1107794' 'B1106290'],35601,75638,1
ABAWARD_30120_72201,AB0009,793,1057,520,30120,72201,4,False,149.9040069580078,0.0,428.0,['B1101006' 'B1101168'],['B1101298' 'B1099482'],30252,39074,1
ABAWARD_30120_72201,AB0010,793,1057,520,30120,72201,5,False,393.49798583984375,2.0,111.0,['AB0263' 'B1102140'],['B1101567' 'B1104145'],35601,75638,1
ABAWARD_30120_62025,AB0011,868,1107,523,30120,62025,1,False,149.9040069580078,4.0,177.0,['B1100918' 'B1102478'],['B1106284' 'B1098314'],30213,64150,1
ABAWARD_30120_62025,AB0012,868,1107,523,30120,62025,2,False,149.9040069580078,7.0,63.0,['B1107508' 'B1102464'],['B1106281' 'B1104077'],30241,64150,1
ABAWARD_30120_62025,AB0013,868,1107,523,30120,62025,3,False,149.9040069580078,0.0,280.0,['B1101249' 'B1101710'],['B1104169' 'B1099881'],30253,64150,1
ABAWARD_30120_62025,AB0014,868,1107,523,30120,62025,4,False,149.9040069580078,1.0,20.0,['B1106567' 'B1103184'],['B1106287' 'B1101540'],30213,64150,1
ABAWARD_30120_43207,AB0015,871,1126,532,30120,43207,1,False,149.9040069580078,0.0,857.0,['B1106050' 'B1105716'],['B1100944' 'B1096864'],30253,43228,1
ABAWARD_30120_43207,AB0016,871,1126,532,30120,43207,2,False,303.97198486328125,2.0,34.0,['B1105087' 'B1095927'],['B1100090' 'B1106712'],35824,43207,1
ABAWARD_30120_43207,AB0017,871,1126,532,30120,43207,3,False,303.97198486328125,1.0,67.0,['B1104651' 'B1099486'],['B1104648' 'B1100963'],35824,43125,1
ABAWARD_30120_43207,AB0018,871,1126,532,30120,43207,4,False,303.97198486328125,0.0,431.0,['B1101298' 'B1099482'],['B1105671' 'B1102535'],35824,43207,1
ABAWARD_77052_71901,AB0019,872,815,401,77052,71901,1,False,,,,,,,,0
ABAWARD_77052_71901,AB0020,872,815,401,77052,71901,2,False,,,,,,,,0
ABAWARD_77052_71901,AB0021,872,815,401,77052,71901,3,False,,,,,,,,0
ABAWARD_77052_71901,AB0022,872,815,401,77052,71901,4,False,,,,,,,,0
ABAWARD_77052_72201,AB0023,862,882,434,77052,72201,1,False,89.5260009765625,0.0,610.0,['B1100798' 'B1100663'],['B1101759' 'B1101786'],77357,39074,1
ABAWARD_77052_72201,AB0024,862,882,434,77052,72201,2,False,0.0,0.0,503.0,['B1095881' 'B1106040'],['B1102004' 'B1104623'],77029,75638,1
ABAWARD_77052_72201,AB0025,862,882,434,77052,72201,3,False,0.0,4.0,506.0,['B1108015' 'B1097984'],['B1107252' 'B1101726'],77029,39074,1
ABAWARD_77052_72201,AB0026,862,882,434,77052,72201,4,False,0.0,0.0,585.0,['B1100685' 'B1099892'],['B1103910' 'B1104085'],77029,39090,1
ABAWARD_30120_80010,AB0027,2686,2758,1353,30120,80010,1,False,0.0,6.0,90.0,['B1105340' 'B1101774'],['B1101692' 'B1108717'],30121,80631,1
ABAWARD_30120_80010,AB0028,2686,2758,1353,30120,80010,2,False,149.9040069580078,6.0,8.0,['AB0075' 'B1097710'],['B1100397' 'B1107568'],30253,80631,1
ABAWARD_30120_80010,AB0029,2686,2758,1353,30120,80010,3,False,149.9040069580078,0.0,848.0,['B1100989' 'B1104080'],['B1102438' 'B1106197'],30253,80631,1
ABAWARD_77052_39501,AB0030,944,819,403,77052,39501,1,False,0.0,5.0,165.0,['B1108285' 'B1099060'],['B1108403' 'B1099858'],77032,70032,1
ABAWARD_77052_39501,AB0031,944,819,403,77052,39501,2,False,0.0,4.0,237.0,['B1106270' 'B1102707'],['B1100507' 'B1100569'],77038,70052,1
ABAWARD_77052_39501,AB0032,944,819,403,77052,39501,3,False,0.0,0.0,411.0,['B1099437' 'B1100360'],['B1103040' 'B1099810'],77029,70052,1
ABAWARD_77052_39666,AB0033,818,750,369,77052,39666,1,False,,,,,,,,0
ABAWARD_77052_39666,AB0034,818,750,369,77052,39666,2,False,,,,,,,,0
ABAWARD_77052_39666,AB0035,818,750,369,77052,39666,3,False,,,,,,,,0
