KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46475470,549,337,138,56201,56572,1,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481130,549,337,138,56201,56572,2,False,285.94439697265625,0.0,2082.0,['L46482469' 'L46476950'],['L46477532' 'L46479830'],58072,56649,1
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46475531,549,337,138,56201,56572,3,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46482005,549,337,138,56201,56572,4,False,0.0,0.0,1665.0,['L46477358' 'L46481094'],['L46477522' 'L46473260'],56215,56649,1
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46477572,549,337,138,56201,56572,5,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46479612,549,337,138,56201,56572,6,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46478318,549,337,138,56201,56572,7,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46476823,549,337,138,56201,56572,8,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481129,549,337,138,56201,56572,9,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46479992,549,337,138,56201,56572,10,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46480502,549,337,138,56201,56572,11,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46477178,549,337,138,56201,56572,12,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46477122,549,337,138,56201,56572,13,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46476426,549,337,138,56201,56572,14,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46474777,549,337,138,56201,56572,15,False,,,,,,,,0
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46474776,549,337,138,56201,56572,16,False,285.94439697265625,0.0,918.0,['L46480674' '46475491'],['L46473591' 'L46481374'],58078,56537,1
HORMEL FOODS CORPORATE SERVICES LLC_56201_56572,46481803,549,337,138,56201,56572,17,False,,,,,,,,0
