KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
ABAWARD_30120_29202,AB0001,650,526,259,30120,29202,1,False,,,,,,,,0
ABAWARD_30120_29202,AB0002,650,526,259,30120,29202,2,False,,,,,,,,0
ABAWARD_30120_29202,AB0003,650,526,259,30120,29202,3,False,,,,,,,,0
ABAWARD_30120_29202,AB0004,650,526,259,30120,29202,4,False,,,,,,,,0
ABAWARD_30120_29202,AB0005,650,526,259,30120,29202,5,False,,,,,,,,0
ABAWARD_30120_72201,AB0006,793,1057,520,30120,72201,1,False,102.01799774169922,1.0,647.0,['B1100893' 'B1101623'],['B1101759' 'B1101704'],30349,39074,1
ABAWARD_30120_72201,AB0007,793,1057,520,30120,72201,2,False,102.01799774169922,1.0,772.0,['B1104074' 'B1103746'],['B1103189' 'B1099845'],30336,75638,1
ABAWARD_30120_72201,AB0008,793,1057,520,30120,72201,3,False,,,,,,,,0
ABAWARD_30120_72201,AB0009,793,1057,520,30120,72201,4,False,102.01799774169922,0.0,423.0,['B1106798' 'B1101670'],['B1108145' 'B1104053'],30340,75638,1
ABAWARD_30120_72201,AB0010,793,1057,520,30120,72201,5,False,,,,,,,,0
ABAWARD_30120_62025,AB0011,868,1107,523,30120,62025,1,False,,,,,,,,0
ABAWARD_30120_62025,AB0012,868,1107,523,30120,62025,2,False,,,,,,,,0
ABAWARD_30120_62025,AB0013,868,1107,523,30120,62025,3,False,,,,,,,,0
ABAWARD_30120_62025,AB0014,868,1107,523,30120,62025,4,False,,,,,,,,0
ABAWARD_30120_43207,AB0015,871,1126,532,30120,43207,1,False,,,,,,,,0
ABAWARD_30120_43207,AB0016,871,1126,532,30120,43207,2,False,,,,,,,,0
ABAWARD_30120_43207,AB0017,871,1126,532,30120,43207,3,False,,,,,,,,0
ABAWARD_30120_43207,AB0018,871,1126,532,30120,43207,4,False,,,,,,,,0
ABAWARD_77052_71901,AB0019,872,815,401,77052,71901,1,False,,,,,,,,0
ABAWARD_77052_71901,AB0020,872,815,401,77052,71901,2,False,,,,,,,,0
ABAWARD_77052_71901,AB0021,872,815,401,77052,71901,3,False,,,,,,,,0
ABAWARD_77052_71901,AB0022,872,815,401,77052,71901,4,False,,,,,,,,0
ABAWARD_77052_72201,AB0023,862,882,434,77052,72201,1,False,0.0,1.0,172.0,['B1102198' 'B1099905'],['B1108897' 'B1102998'],77029,75638,1
ABAWARD_77052_72201,AB0024,862,882,434,77052,72201,2,False,0.0,2.0,83.0,['B1105460' 'B1098054'],['B1101567' 'B1105883'],77029,75638,1
ABAWARD_77052_72201,AB0025,862,882,434,77052,72201,3,False,0.0,2.0,299.0,['B1108805' 'B1106040'],['B1102346' 'B1100371'],77029,75638,1
ABAWARD_77052_72201,AB0026,862,882,434,77052,72201,4,False,0.0,2.0,719.0,['B1107483' 'B1102707'],['B1100343' 'B1104916'],77038,39074,1
ABAWARD_30120_80010,AB0027,2686,2758,1353,30120,80010,1,False,418.48199462890625,0.0,310.0,['B1102114' 'B1100895'],['B1104688' 'B1103035'],36081,80631,1
ABAWARD_30120_80010,AB0028,2686,2758,1353,30120,80010,2,False,102.01799774169922,0.0,558.0,['B1106428' 'B1103366'],['B1103716' 'B1098382'],30349,80631,1
ABAWARD_30120_80010,AB0029,2686,2758,1353,30120,80010,3,False,102.01799774169922,1.0,279.0,['B1099778' 'B1101580'],['AB0175' 'B1098426'],30349,80010,1
ABAWARD_77052_39501,AB0030,944,819,403,77052,39501,1,False,0.0,1.0,488.0,['AB0188' 'B1105805'],['B1099529' 'B1107125'],77029,39501,1
ABAWARD_77052_39501,AB0031,944,819,403,77052,39501,2,False,0.0,2.0,224.0,['AB0122' 'B1104205'],['B1102968' 'B1104582'],77029,39501,1
ABAWARD_77052_39501,AB0032,944,819,403,77052,39501,3,False,0.0,0.0,160.0,['B1100108' 'B1099868'],['B1104031' 'B1102317'],77029,39501,1
ABAWARD_77052_39666,AB0033,818,750,369,77052,39666,1,False,,,,,,,,0
ABAWARD_77052_39666,AB0034,818,750,369,77052,39666,2,False,,,,,,,,0
ABAWARD_77052_39666,AB0035,818,750,369,77052,39666,3,False,,,,,,,,0
ABAWARD_80010_67801,AB0036,589,766,377,80010,67801,1,False,0.0,2.0,364.0,['B1103373' 'B1106692'],['B1104020' 'B1106676'],80011,67851,1
ABAWARD_80010_67801,AB0037,589,766,377,80010,67801,2,False,0.0,2.0,544.0,['B1107096' 'B1101263'],['B1105027' 'B1100978'],80010,67851,1
ABAWARD_30120_41094,AB0038,670,819,403,30120,41094,1,False,,,,,,,,0
ABAWARD_30120_41094,AB0039,670,819,403,30120,41094,2,False,,,,,,,,0
ABAWARD_77052_72112,AB0040,1038,1061,522,77052,72112,1,False,0.0,2.0,414.0,['B1103766' 'B1104796'],['B1102204' 'B1103357'],77029,39074,1
ABAWARD_77052_72112,AB0041,1038,1061,522,77052,72112,2,False,0.0,1.0,498.0,['B1106466' 'B1104760'],['B1107252' 'B1105330'],77038,39074,1
ABAWARD_80521_57078,AB0042,802,1223,578,80521,57078,1,False,,,,,,,,0
