KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
ABAWARD_30120_29202,AB0001,650,526,259,30120,29202,1,False,,,,,,,,0
ABAWARD_30120_29202,AB0002,650,526,259,30120,29202,2,False,,,,,,,,0
ABAWARD_30120_29202,AB0003,650,526,259,30120,29202,3,False,,,,,,,,0
ABAWARD_30120_29202,AB0004,650,526,259,30120,29202,4,False,,,,,,,,0
ABAWARD_30120_29202,AB0005,650,526,259,30120,29202,5,False,,,,,,,,0
ABAWARD_30120_72201,AB0006,793,1057,520,30120,72201,1,False,,,,,,,,0
ABAWARD_30120_72201,AB0007,793,1057,520,30120,72201,2,False,,,,,,,,0
ABAWARD_30120_72201,AB0008,793,1057,520,30120,72201,3,False,,,,,,,,0
ABAWARD_30120_72201,AB0009,793,1057,520,30120,72201,4,False,,,,,,,,0
ABAWARD_30120_72201,AB0010,793,1057,520,30120,72201,5,False,,,,,,,,0
ABAWARD_30120_62025,AB0011,868,1107,523,30120,62025,1,False,102.01799774169922,5.0,346.0,['B1107881' 'B1105259'],['AB0123' 'B1105340'],30340,63166,1
ABAWARD_30120_62025,AB0012,868,1107,523,30120,62025,2,False,0.0,3.0,12.0,['B1104999' 'B1100572'],['AB0254' 'B1101926'],30121,63166,1
ABAWARD_30120_62025,AB0013,868,1107,523,30120,62025,3,False,102.01799774169922,5.0,72.0,['B1104793' 'B1104619'],['AB0255' 'B1105108'],30336,63166,1
ABAWARD_30120_62025,AB0014,868,1107,523,30120,62025,4,False,0.0,6.0,2.0,['B1100292' 'B1105442'],['AB0122' 'B1103041'],30121,63166,1
ABAWARD_30120_43207,AB0015,871,1126,532,30120,43207,1,False,,,,,,,,0
ABAWARD_30120_43207,AB0016,871,1126,532,30120,43207,2,False,,,,,,,,0
ABAWARD_30120_43207,AB0017,871,1126,532,30120,43207,3,False,,,,,,,,0
ABAWARD_30120_43207,AB0018,871,1126,532,30120,43207,4,False,,,,,,,,0
ABAWARD_77052_71901,AB0019,872,815,401,77052,71901,1,False,,,,,,,,0
ABAWARD_77052_71901,AB0020,872,815,401,77052,71901,2,False,,,,,,,,0
ABAWARD_77052_71901,AB0021,872,815,401,77052,71901,3,False,,,,,,,,0
ABAWARD_77052_71901,AB0022,872,815,401,77052,71901,4,False,,,,,,,,0
ABAWARD_77052_72201,AB0023,862,882,434,77052,72201,1,False,0.0,0.0,58.0,['B1098795' 'B1099862'],['B1107136' 'B1098621'],77029,72201,1
ABAWARD_77052_72201,AB0024,862,882,434,77052,72201,2,False,,,,,,,,0
ABAWARD_77052_72201,AB0025,862,882,434,77052,72201,3,False,,,,,,,,0
ABAWARD_77052_72201,AB0026,862,882,434,77052,72201,4,False,0.0,5.0,341.0,['B1100765' 'B1099865'],['B1099858' 'B1101745'],77029,72802,1
ABAWARD_30120_80010,AB0027,2686,2758,1353,30120,80010,1,False,102.01799774169922,1.0,118.0,['B1101323' 'B1101580'],['AB0114' 'B1105637'],30349,80010,1
ABAWARD_30120_80010,AB0028,2686,2758,1353,30120,80010,2,False,,,,,,,,0
ABAWARD_30120_80010,AB0029,2686,2758,1353,30120,80010,3,False,102.01799774169922,3.0,84.0,['B1105550' 'B1103365'],['B1100461' 'B1105052'],30349,80631,1
ABAWARD_77052_39501,AB0030,944,819,403,77052,39501,1,False,0.0,1.0,21.0,['B1103619' 'B1107929'],['B1097892' 'B1097984'],77029,39501,1
ABAWARD_77052_39501,AB0031,944,819,403,77052,39501,2,False,0.0,1.0,16.0,['B1101931' 'B1102289'],['B1099528' 'B1105060'],77055,39501,1
ABAWARD_77052_39501,AB0032,944,819,403,77052,39501,3,False,0.0,5.0,26.0,['B1099531' 'B1106122'],['B1099513' 'B1100119'],77029,39501,1
ABAWARD_77052_39666,AB0033,818,750,369,77052,39666,1,False,,,,,,,,0
ABAWARD_77052_39666,AB0034,818,750,369,77052,39666,2,False,,,,,,,,0
ABAWARD_77052_39666,AB0035,818,750,369,77052,39666,3,False,,,,,,,,0
ABAWARD_80010_67801,AB0036,589,766,377,80010,67801,1,False,0.0,5.0,139.0,['B1106252' 'B1102032'],['B1102808' 'B1106275'],80011,67851,1
ABAWARD_80010_67801,AB0037,589,766,377,80010,67801,2,False,0.0,2.0,271.0,['B1105278' 'B1101001'],['B1106192' 'B1105458'],80011,67851,1
ABAWARD_30120_41094,AB0038,670,819,403,30120,41094,1,False,,,,,,,,0
ABAWARD_30120_41094,AB0039,670,819,403,30120,41094,2,False,,,,,,,,0
ABAWARD_77052_72112,AB0040,1038,1061,522,77052,72112,1,False,0.0,2.0,126.0,['B1107521' 'B1101777'],['B1105048' 'B1106118'],77049,38611,1
ABAWARD_77052_72112,AB0041,1038,1061,522,77052,72112,2,False,,,,,,,,0
ABAWARD_80521_57078,AB0042,802,1223,578,80521,57078,1,False,,,,,,,,0
ABAWARD_80010_57101,AB0043,1047,1537,719,80010,57101,1,False,,,,,,,,0
ABAWARD_80010_68501,AB0044,735,1039,487,80010,68501,1,False,,,,,,,,0
