split,run_time,revenue,cost,deadhead_cost,profit,margin,num_trips,solver,trial_name
4,178.54966950416565,3837872.0,2877144.0,258884.2087860108,701843.7912139893,0.1828731628397167,4111,mosek,ab
4,183.51376461982727,3884972.0,2938520.0,254470.3677368164,691981.6322631836,0.1781175339907684,4111,gurobi1,ab
2,353.2902579307556,4110924.0,3112468.0,274807.3433151245,723648.6566848755,0.1760306579943768,4111,mosek,ab
2,350.1863691806793,4110924.0,3112468.0,274807.3433151245,723648.6566848755,0.1760306579943768,4111,gurobi1,ab
1,769.0692183971405,3943212.0,2946803.0,248590.80003738403,747818.199962616,0.189646967995283,4111,mosek,ab
1,766.7599527835846,3943212.0,2946803.0,248590.80003738403,747818.199962616,0.189646967995283,4111,gurobi1,ab
4,194.6236658096313,6873204.0,4300140.0,371917.7021369934,2201146.2978630066,0.320250395283336,3417,mosek,mgnl
4,181.09092664718628,6873204.0,4300140.0,371917.7021369934,2201146.2978630066,0.320250395283336,3417,gurobi1,mgnl
2,333.9376401901245,6552054.0,4106472.0,375247.23569488525,2070334.7643051147,0.3159825551353994,3417,mosek,mgnl
2,337.1397030353546,6552054.0,4106472.0,375247.23569488525,2070334.7643051147,0.3159825551353994,3417,gurobi1,mgnl
1,895.5869219303131,6683560.0,4225150.0,375695.6046161652,2082714.3953838348,0.3116175205106014,3417,mosek,mgnl
1,899.4820492267609,6683560.0,4225150.0,375695.6046161652,2082714.3953838348,0.3116175205106014,3417,gurobi1,mgnl
4,2095.0939798355103,16642552.0,13333412.0,747086.2005081177,2562053.7994918823,0.1539459693135934,9290,mosek,trial10
4,906.7010960578918,16439268.0,13096600.0,740741.9361534119,2601926.063846588,0.1582750560333092,9290,gurobi1,trial10
2,2165.6581103801727,16477656.0,13091730.0,767042.5378112793,2618883.4621887207,0.1589354373090881,9290,mosek,trial10
2,3402.129034280777,16477656.0,13091730.0,767042.5378112793,2618883.4621887207,0.1589354373090881,9290,gurobi,trial10
4,53.86001110076904,3484000.0,2597060.0,246508.8000946045,640431.1999053955,0.1838206658741089,4111,gurobi,ab
2,118.53291440010072,3382618.0,2503486.0,212272.3928222656,666859.6071777344,0.1971430433994422,4111,gurobi,ab
1,331.4425845146179,2964504.0,2168833.0,197567.2268257141,598103.7731742859,0.2017550906236881,4111,gurobi,ab
4,75.90061283111572,6644504.0,4165928.0,360376.18156814575,2118199.8184318542,0.318789757434393,3417,gurobi,mgnl
2,129.0403230190277,5628518.0,3560480.0,298738.3049812317,1769299.6950187683,0.31434556929884,3417,gurobi,mgnl
1,307.15787744522095,5050835.0,3182490.0,281950.4190206528,1586394.5809793472,0.3140856078211518,3417,gurobi,mgnl
4,233.59988856315613,14408264.0,11632648.0,558523.6738433838,2217092.326156616,0.15387643689459163,9290,gurobi,trial10
