KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK
A&W PALLET-Ast/43506/43050,1,525,349,165,43506,43050,1
A&W PALLET-Log/43318/43506,2,450,235,111,43318,43506,1
AJM PACKAGING-Ast/48195/43554,3,552,215,101,48195,43554,1
AJM PACKAGING-Ast/48209/43545,4,585,205,97,48209,43545,1
ALTENLOH TRUFA-Ast/15906/43506,5,1034,804,356,15906,43506,1
ALTENLOH TRUFA-Ast/15906/43506,6,1034,804,356,15906,43506,2
ALTENLOH TRUFA-Ast/15906/43506,7,1034,804,356,15906,43506,3
ALTENLOH TRUFA-Ast/15906/43506,8,1034,804,356,15906,43506,4
ALTENLOH TRUFA-Ast/15906/43506,9,1034,804,356,15906,43506,5
ALTENLOH TRUFA-Ast/15906/43506,10,1034,804,356,15906,43506,6
ALTENLOH TRUFA-Ast/15906/43506,11,1034,804,356,15906,43506,7
ALTENLOH TRUFA-Ast/15906/43506,12,1034,804,356,15906,43506,8
ALTENLOH TRUFA-Ast/15906/43506,13,1034,804,356,15906,43506,9
ALTENLOH TRUFA-Ast/15906/43506,14,1034,804,356,15906,43506,10
ALTENLOH TRUFA-Ast/15906/43506,15,1034,804,356,15906,43506,11
ALTENLOH TRUFA-Ast/15906/43506,16,1034,804,356,15906,43506,12
ALTENLOH TRUFA-Ast/15906/43506,17,1034,804,356,15906,43506,13
ALTENLOH TRUFA-Ast/15906/43506,18,1034,804,356,15906,43506,14
ALTENLOH TRUFA-Ast/15906/43506,19,1034,804,356,15906,43506,15
ALTENLOH TRUFA-Ast/15906/43506,20,1034,804,356,15906,43506,16
ALTENLOH TRUFA-Ast/15906/43506,21,1034,804,356,15906,43506,17
ALTENLOH TRUFA-Ast/15906/43506,22,1034,804,356,15906,43506,18
ALTENLOH TRUFA-Ast/15906/43506,23,1034,804,356,15906,43506,19
ALTENLOH TRUFA-Ast/15906/43506,24,1034,804,356,15906,43506,20
ALTENLOH TRUFA-Ast/15906/43506,25,1034,804,356,15906,43506,21
ALTENLOH TRUFA-Ast/43506/48601,26,1025,375,180,43506,48601,1
ALTENLOH TRUFA-Ast/43506/48601,27,1025,375,180,43506,48601,2
ALTENLOH TRUFA-Ast/43554/38668,28,1899,1445,697,43554,38668,1
ALTENLOH TRUFA-Ast/43554/62246,29,1192,805,388,43554,62246,1
ALTENLOH TRUFA-Ast/43554/62246,30,1192,805,388,43554,62246,2
ALTENLOH TRUFA-Ast/44101/17013,31,1443,879,335,44101,17013,1
ALTENLOH TRUFA-Ast/44101/17013,32,1443,879,335,44101,17013,2
ALTENLOH TRUFA-Ast/44101/17013,33,1443,879,335,44101,17013,3
ALTENLOH TRUFA-Ast/44101/17777,34,1332,607,292,44101,17777,1
ALTENLOH TRUFA-Ast/44101/38668,35,2062,1617,780,44101,38668,1
ALTENLOH TRUFA-Ast/44101/43506,36,737,380,171,44101,43506,1
ALTENLOH TRUFA-Ast/44101/43506,37,737,380,171,44101,43506,2
ALTENLOH TRUFA-Ast/44101/43506,38,737,380,171,44101,43506,3
