KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggLdMargin,AggOrgZip,AggDstZip,Div,Inc/Exc
(B56) MEDL_31324_38672,2080222,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2081153,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2083624,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2083651,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2083810,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2086242,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2086309,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2088242,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2090374,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2091816,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2091838,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2092168,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2093280,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2097159,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2098087,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2100186,1396,1159,618,24,31324,38672,Van,incl
(B56) MEDL_31324_38672,2100941,1396,1159,618,24,31324,38672,Van,incl
3M_35563_43228,2080707,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2083171,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2083186,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2086730,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2088744,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2090231,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2095224,1387,1039,564,170,35563,43228,Van,incl
3M_35563_43228,2098161,1387,1039,564,170,35563,43228,Van,incl
703 - DSC_30213_38118,2085116,725,687,369,2,30213,38118,Van,incl
703 - DSC_30213_38118,2091539,725,687,369,2,30213,38118,Van,incl
ACCURIDE D_60431_38611,2079686,1344,1055,560,264,60431,38611,Van,incl
ACCURIDE D_60431_38611,2089877,1344,1055,560,264,60431,38611,Van,incl
ACCURIDE D_60431_38611,2098872,1344,1055,560,264,60431,38611,Van,incl
ADD BAC_30721_38017,2090410,690,596,320,-85,30721,38017,Van,incl
ADM MILLIN_38301_30122,2081732,950,714,367,63,38301,30122,Van,incl
ADM MILLIN_38301_30122,2086211,950,714,367,63,38301,30122,Van,incl
ADM MILLIN_38301_30336,2085540,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2087172,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2087699,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2088033,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2088039,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2088042,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2088050,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2097890,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2097897,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2098814,957,708,371,180,38301,30336,Van,incl
ADM MILLIN_38301_30336,2098833,957,708,371,180,38301,30336,Van,incl
Agiliti 51_30253_38141,2097719,740,730,401,8,30253,38141,Van,incl
ALABAMA PA_35401_54952,2079682,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2079685,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2079689,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2083425,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2083435,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2083485,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2083497,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2085311,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2085315,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2088351,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2088395,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2088397,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2093299,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2099195,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2099229,1605,1721,914,-287,35401,54952,Van,incl
ALABAMA PA_35401_54952,2100607,1605,1721,914,-287,35401,54952,Van,incl
ALADDIN MI_30721_38114,2097911,850,719,370,-102,30721,38114,Van,incl
ALLNEX USA_30901_46580,2082306,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2083382,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2083460,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2085016,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2085043,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2085559,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2086431,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2087958,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2090722,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2092282,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2092448,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2092492,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2093658,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2093659,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2095222,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2095728,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2097707,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2100083,1617,1372,746,243,30901,46580,Log,incl
ALLNEX USA_30901_46580,2100980,1617,1372,746,243,30901,46580,Log,incl
ALSIP MINI_60803_30013,2083053,1220,1379,743,-354,60803,30013,Van,incl
ALSIP MINI_60803_30013,2083070,1220,1379,743,-354,60803,30013,Van,incl
ALSIP MINI_60803_72432,2083159,963,962,514,-55,60803,72432,Van,incl
ALSIP MINI_60803_72432,2088457,963,962,514,-55,60803,72432,Van,incl
ALSIP MINI_60803_72432,2089874,963,962,514,-55,60803,72432,Van,incl
ALSIP MINI_60803_72432,2089896,963,962,514,-55,60803,72432,Van,incl
Alsip Mini_60803_72432,2092040,963,962,514,-55,60803,72432,Van,incl
ALSIP MINI_60803_72432,2092899,963,962,514,-55,60803,72432,Van,incl
ALSIP PAPE_60803_30013,2080990,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_30013,2083373,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_30013,2083375,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_30013,2086758,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_30013,2087182,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_30013,2087411,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_30013,2093254,1234,1387,743,-241,60803,30013,Van,incl
ALSIP PAPE_60803_72432,2083172,881,955,514,-137,60803,72432,Van,incl
ALSIP PAPE_60803_72432,2087196,881,955,514,-137,60803,72432,Van,incl
ALSIP PAPE_60803_72432,2087365,881,955,514,-137,60803,72432,Van,incl
