KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggMargin,AggOrgZip,AggDstZip,Div,Inc/Exc,MustTakeFlag
(AB-52400)_63118_38502,2085678,1000,744,387,179,63118,38502,Van,incl, 
(AB-52400)_63118_72202,2089509,1000,660,345,263,63118,72202,Van,incl, 
(B56) MEDL_31324_33823,2093955,1450,570,296,643,31324,33823,Van,incl, 
(B56) MEDL_31324_33823,2094124,1450,570,296,643,31324,33823,Van,incl, 
(B56) MEDL_31324_33823,2094637,1450,570,296,643,31324,33823,Van,incl, 
(B56) MEDL_31324_38672,2080222,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2081153,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2083651,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2083810,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2083624,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2086242,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2086309,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2088242,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2090374,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2091816,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2091838,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2092168,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2093280,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2097159,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2098087,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2100186,1396,1159,618,24,31324,38672,Van,incl, 
(B56) MEDL_31324_38672,2100941,1396,1159,618,24,31324,38672,Van,incl, 
0346 Flori_33853_29728,2098651,650,1024,547,-512,33853,29728,Van,incl, 
1RN - K PO_38118_28273,2086953,1410,1129,618,122,38118,28273,Van,incl, 
20/20 Cust_46714_30025,2099199,1400,1166,641,46,46714,30025,Van,incl, 
3006-TICON_28401_41042,2099585,1175,1215,649,-267,28401,41042,Van,incl, 
395 - MOUN_84660_30213,2087293,3100,3417,1887,-408,84660,30213,Van,incl, 
3M Rocklan_02370_38344,2092719,1900,2216,1193,-516,02370,38344,Van,incl, 
3M_35563_43228,2080707,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2083171,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2083186,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2086730,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2088744,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2090231,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2095224,1387,1039,564,170,35563,43228,Van,incl, 
3M_35563_43228,2098161,1387,1039,564,170,35563,43228,Van,incl, 
3PL - IWS_36851_28613,2092756,850,717,390,26,36851,28613,Van,incl, 
3PL - IWS_36851_43125,2086554,1200,1271,699,-234,36851,43125,Van,incl, 
425 S Coun_44830_30253,2082878,1825,1167,637,615,44830,30253,Van,incl, 
48 FORTY A_30103_38039,2089811,600,520,284,-45,30103,38039,Van,incl, 
703 - DSC_30213_38118,2085116,725,687,369,2,30213,38118,Van,incl, 
703 - DSC_30213_38118,2091539,725,687,369,2,30213,38118,Van,incl, 
9440 IN-39_46158_30268,2080277,1733,1012,551,689,46158,30268,Van,incl, 
A & R Disc_38847_72501,2101107,950,508,273,302,38847,72501,Van,incl, 
A&R Packag_01082_38012,2091636,1900,2234,1212,-529,01082,38012,Van,incl, 
AAF FLANDE_60901_37086,2096119,1030,842,463,104,60901,37086,Van,incl, 
ACCESS WOR_70115_38843,2087356,850,669,367,-52,70115,38843,Van,incl, 
Accuride D_60431_35401,2096954,1600,1333,723,197,60431,35401,Van,incl, 
Accuride D_60431_37210,2089992,965,901,479,17,60431,37210,Van,incl, 
ACCURIDE D_60431_38611,2079686,1344,1055,560,264,60431,38611,Van,incl, 
ACCURIDE D_60431_38611,2089877,1344,1055,560,264,60431,38611,Van,incl, 
ACCURIDE D_60431_38611,2098872,1344,1055,560,264,60431,38611,Van,incl, 
Acme Brick_36104_37066,2092770,600,561,307,-133,36104,37066,Van,incl, 
ACME C/O I_80239_38108,2095637,1300,2042,1089,-760,80239,38108,Van,incl, 
ACTIVE MIN_32351_40210,2087907,1125,1167,639,-200,32351,40210,Van,incl, 
ADC - Joli_60431_35215,2099157,1500,1245,681,40,60431,35215,Van,incl, 
ADD BAC_30721_38017,2090410,690,596,320,-85,30721,38017,Van,incl, 
ADD USA IN_30518_47977,2082357,1100,1191,647,-138,30518,47977,Van,incl, 
ADM MILLIN_38301_30122,2081732,950,714,367,63,38301,30122,Van,incl, 
ADM MILLIN_38301_30122,2086211,950,714,367,63,38301,30122,Van,incl, 
ADM MILLIN_38301_30336,2085540,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2087172,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2087699,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2088033,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2088039,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2088042,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2088050,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2097890,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2097897,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2098814,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_30336,2098833,957,708,371,180,38301,30336,Van,incl, 
ADM MILLIN_38301_75211,2088183,1150,1023,547,-6,38301,75211,Van,incl, 
ADM MILLIN_38301_75211,2098793,1150,1023,547,-6,38301,75211,Van,incl, 
ADS Wareho_40210_38606,2080596,1100,800,440,151,40210,38606,Van,incl, 
Advance Po_21075_38671,2101406,1450,1662,914,-233,21075,38671,Van,incl, 
Advanced I_27545_38351,2090156,1100,1196,657,-236,27545,38351,Van,incl, 
Advanced I_70722_46516,2100093,1700,1713,938,-201,70722,46516,Van,incl, 
ADVANCED L_64161_28150,2100090,1811,1657,916,127,64161,28150,Van,incl, 
ADVANCED S_30161_61630,2083742,1100,1175,647,-245,30161,61630,Van,incl, 
ADVANCED T_46064_37211,2099217,950,596,320,352,46064,37211,Van,incl, 
AGC Richmo_40475_28621,2087866,863,661,344,-27,40475,28621,Van,incl, 
AGC Richmo_40475_28621,2088446,863,661,344,-27,40475,28621,Van,incl, 
Agiliti 51_30253_38141,2097719,740,730,401,8,30253,38141,Van,incl, 
AGROPUR_55378_37127,2086708,1800,1634,889,143,55378,37127,Van,incl, 
AGROPUR_55378_37127,2087737,1800,1634,889,143,55378,37127,Van,incl, 
AGWAY SYST_70807_38801,2098492,800,683,371,19,70807,38801,Van,incl, 
AHF_60901_30134,2086484,1700,1258,686,299,60901,30134,Van,incl, 
AHF_60901_35758,2100795,1450,1020,562,346,60901,35758,Van,incl, 
Aiken Chem_29650_38351,2085105,1134,865,454,71,29650,38351,Van,incl, 
Aiken Chem_29650_38351,2087404,1134,865,454,71,29650,38351,Van,incl, 
Aiken Chem_29650_38351,2090758,1134,865,454,71,29650,38351,Van,incl, 
Aiken Chem_29650_38351,2093732,1134,865,454,71,29650,38351,Van,incl, 
Aiken Chem_29650_38351,2097314,1134,865,454,71,29650,38351,Van,incl, 
Aiken Chem_29650_38351,2100370,1134,865,454,71,29650,38351,Van,incl, 
Aiken Chem_29650_43701,2081775,1293,900,469,247,29650,43701,Van,incl, 
Aiken Chem_29650_43701,2085194,1293,900,469,247,29650,43701,Van,incl, 
Aiken Chem_29650_43701,2090799,1293,900,469,247,29650,43701,Van,incl, 
Aiken Chem_29650_43701,2094450,1293,900,469,247,29650,43701,Van,incl, 
Aiken Chem_29650_43701,2097675,1293,900,469,247,29650,43701,Van,incl, 
AIRLITE NO_28637_38305,2082998,963,891,488,27,28637,38305,Van,incl, 
Airlite Pl_68110_72450,2100811,1050,1225,665,-195,68110,72450,Van,incl, 
AJ NONWOVE_76705_38801,2101875,1100,1194,655,-280,76705,38801,Van,incl, 
AK Steel-_43701_38024,2101635,1250,1032,554,152,43701,38024,Van,incl, 
AK Steel-_43701_38024,2101644,1250,1032,554,152,43701,38024,Van,incl, 
AKG of Ame_27302_38827,2082245,1650,1167,643,377,27302,38827,Van,incl, 
Al Rec LL_25262_38344,2085185,1150,916,496,39,25262,38344,Van,incl, 
ALABAMA IN_35160_27701,2102426,1000,905,495,-34,35160,27701,Van,incl, 
ALABAMA PA_35401_54952,2079682,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2079685,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2079689,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2083425,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2083435,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2083485,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2083497,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2085311,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2085315,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2088351,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2088395,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2088397,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2093299,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2099195,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2099229,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA PA_35401_54952,2100607,1605,1721,914,-287,35401,54952,Van,incl, 
ALABAMA_35957_38611,2081327,700,442,234,165,35957,38611,Van,incl, 
ALADDIN MI_30721_38114,2097911,850,719,370,-102,30721,38114,Van,incl, 
ALBANESE C_46410_72335,2091473,1200,1016,555,95,46410,72335,Van,incl, 
ALBANY BRE_31705_28401,2087676,1000,906,483,92,31705,28401,Van,incl, 
ALBANY BRE_31705_37228,2082208,950,821,436,-9,31705,37228,Van,incl, 
ALBANY BRE_31705_37228,2088303,950,821,436,-9,31705,37228,Van,incl, 
ALBANY BRE_31705_37228,2090339,950,821,436,-9,31705,37228,Van,incl, 
Albany Ind_38652_38801,2079211,295,65,31,198,38652,38801,Van,incl, 
Aleris - L_60069_39272,2102220,1850,1442,778,292,60069,39272,Van,incl, 
ALL PALLET_63115_35616,2097413,815,805,365,-24,63115,35616,Van,incl, 
ALL SOUTH_30316_60481,2084892,1182,1340,720,-219,30316,60481,Van,incl, 
ALLEGRO FI_38242_44451,2088277,1400,1124,619,67,38242,44451,Van,incl, 
ALLEGRO FI_38242_44515,2089465,1400,1137,626,154,38242,44515,Van,incl, 
Allegro Fi_38242_60446,2090226,900,795,427,-36,38242,60446,Van,incl, 
Allen Dist_45014_38301,2086570,770,775,418,-268,45014,38301,Van,incl, 
Allen Dist_45014_39759,2080044,1300,1101,568,34,45014,39759,Van,incl, 
Allison Tr_46268_38827,2084850,2150,880,477,1196,46268,38827,Van,incl, 
Allison Tr_46268_38827,2088717,2150,880,477,1196,46268,38827,Van,incl, 
ALLNEX USA_30901_46580,2082306,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2083460,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2083382,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2085016,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2085043,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2085559,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2086431,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2087958,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2090722,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2092282,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2092448,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2092492,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2093658,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2093659,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2095222,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2095728,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2097707,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2100083,1617,1372,746,243,30901,46580,Log,incl, 
ALLNEX USA_30901_46580,2100980,1617,1372,746,243,30901,46580,Log,incl, 
Alphia c/o_84016_30265,2096005,3200,3441,1895,-293,84016,30265,Van,incl, 
ALPINE WAS_80216_35661,2084365,1400,2266,1209,-884,80216,35661,Van,incl, 
ALPINE_38863_62056,2098158,1000,808,438,24,38863,62056,Van,incl, 
ALSIP MINI_60803_30013,2083070,1220,1379,743,-354,60803,30013,Van,incl, 
ALSIP MINI_60803_30013,2083053,1220,1379,743,-354,60803,30013,Van,incl, 
ALSIP MINI_60803_72432,2083159,963,962,514,-55,60803,72432,Van,incl, 
ALSIP MINI_60803_72432,2088457,963,962,514,-55,60803,72432,Van,incl, 
ALSIP MINI_60803_72432,2089874,963,962,514,-55,60803,72432,Van,incl, 
ALSIP MINI_60803_72432,2089896,963,962,514,-55,60803,72432,Van,incl, 
ALSIP MINI_60803_72432,2092899,963,962,514,-55,60803,72432,Van,incl, 
Alsip Mini_60803_72432,2092040,963,962,514,-55,60803,72432,Van,incl, 
ALSIP PAPE_60803_30013,2080990,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_30013,2083373,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_30013,2083375,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_30013,2086758,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_30013,2087182,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_30013,2087411,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_30013,2093254,1234,1387,743,-241,60803,30013,Van,incl, 
ALSIP PAPE_60803_37091,2094196,1110,965,521,88,60803,37091,Van,incl, 
ALSIP PAPE_60803_72432,2083172,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2087196,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2087365,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2087414,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2089882,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2093198,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2102869,881,955,514,-137,60803,72432,Van,incl, 
ALSIP PAPE_60803_72432,2095169,881,955,514,-137,60803,72432,Van,incl, 
Altium Pac_33605_30126,2087386,500,874,473,-433,33605,30126,Van,incl, 
Altium Pac_38141_44035,2092608,1460,1294,711,132,38141,44035,Van,incl, 
AMALIE OIL_33619_30824,2085224,488,807,436,-392,33619,30824,Van,incl, 
AMALIE OIL_33619_37086,2091564,750,1284,700,-593,33619,37086,Van,incl, 
AMAZON - A_78660_64116,2088283,1598,1289,676,307,78660,64116,Log,incl,Y
AMAZON - A_78660_64116,2094655,1598,1289,676,307,78660,64116,Log,incl,Y
Amazon Ful_33054_32771,2082796,538,469,236,67,33054,32771,Log,incl,Y
Amazon Ful_33054_32771,2087628,538,469,236,67,33054,32771,Log,incl,Y
Amazon Ful_33054_32771,2091450,538,469,236,67,33054,32771,Log,incl,Y
Amazon Ful_33054_32771,2094482,538,469,236,67,33054,32771,Log,incl,Y
Amazon Ful_33054_32771,2096765,538,469,236,67,33054,32771,Log,incl,Y
Amazon Ful_33054_32771,2101415,538,469,236,67,33054,32771,Log,incl,Y
Amazon Ful_78666_64116,2084121,1652,1321,715,329,78666,64116,Log,incl,Y
Amazon Ful_91752_85338,2084094,1097,608,320,487,91752,85338,Log,incl,Y
Amazon Ful_91752_85338,2090952,1097,608,320,487,91752,85338,Log,incl,Y
Amazon Ful_91752_85338,2090953,1097,608,320,487,91752,85338,Log,incl,Y
Amazon Ful_91752_85338,2092073,1097,608,320,487,91752,85338,Log,incl,Y
Amazon Ful_91752_85338,2094653,1097,608,320,487,91752,85338,Log,incl,Y
Amazon Ful_91752_85338,2097781,1097,608,320,487,91752,85338,Log,incl,Y
Amazon Ful_91752_85338,2098361,1097,608,320,487,91752,85338,Log,incl,Y
Amazon MDW_60449_30701,2092893,1406,1131,597,222,60449,30701,Van,incl,Y
Amazon MDW_60449_30701,2094484,1406,1131,597,222,60449,30701,Van,incl,Y
AMAZON OKC_73159_64116,2094651,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2084760,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2085727,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2085884,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2086976,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2087119,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2088437,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2088628,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2088629,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2088632,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2094583,914,707,361,205,73159,64116,Log,incl,Y
Amazon OKC_73159_64116,2100247,914,707,361,205,73159,64116,Log,incl,Y
AMAZON SAT_78666_64116,2091471,1672,1322,715,348,78666,64116,Log,incl,Y
AMAZON SAT_78666_64116,2094486,1672,1322,715,348,78666,64116,Log,incl,Y
AMAZON SAT_78666_64116,2097115,1672,1322,715,348,78666,64116,Log,incl,Y
AMAZON SAT_78666_64116,2099523,1672,1322,715,348,78666,64116,Log,incl,Y
Amazon TEN_19605_30701,2080302,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2080303,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2080348,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2080349,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2081309,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2081310,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2081850,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2081853,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2081856,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2082772,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2082773,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2082774,1290,1330,720,-41,19605,30701,Log,incl,Y
Amazon TEN_19605_30701,2083299,1290,1330,720,-41,19605,30701,Log,incl,Y
